molecule_name,potential_energy
dsgdb9nsd_000410,-306.4591
dsgdb9nsd_000411,-271.7601
dsgdb9nsd_000414,-235.8622
dsgdb9nsd_000417,-271.7527
dsgdb9nsd_000419,-270.5662
dsgdb9nsd_000420,-286.6256
dsgdb9nsd_000424,-306.4601
dsgdb9nsd_000427,-322.5254
dsgdb9nsd_000431,-342.3884
dsgdb9nsd_000433,-271.7655
dsgdb9nsd_000434,-271.7636
dsgdb9nsd_000436,-307.6702
dsgdb9nsd_000438,-269.3606
dsgdb9nsd_000439,-285.422
dsgdb9nsd_000441,-321.3341
dsgdb9nsd_000443,-269.369
dsgdb9nsd_000444,-285.4233
dsgdb9nsd_000445,-286.6267
dsgdb9nsd_000446,-322.5205
dsgdb9nsd_000448,-270.5934
dsgdb9nsd_000449,-286.6531
dsgdb9nsd_000450,-306.5168
dsgdb9nsd_000452,-342.4094
dsgdb9nsd_000453,-302.6993
dsgdb9nsd_000454,-322.5642
dsgdb9nsd_000455,-342.4272
dsgdb9nsd_000456,-234.6667
dsgdb9nsd_000457,-270.5592
dsgdb9nsd_000460,-286.6201
dsgdb9nsd_000461,-270.5623
dsgdb9nsd_000464,-270.5577
dsgdb9nsd_000465,-270.5622
dsgdb9nsd_000466,-235.8919
dsgdb9nsd_000470,-307.6936
dsgdb9nsd_000472,-307.6871
dsgdb9nsd_000476,-307.6594
dsgdb9nsd_000477,-343.5645
dsgdb9nsd_000480,-270.5078
dsgdb9nsd_000481,-270.5208
dsgdb9nsd_000482,-270.5177
dsgdb9nsd_000483,-306.405
dsgdb9nsd_000484,-229.6622
dsgdb9nsd_000485,-245.7487
dsgdb9nsd_000487,-232.1243
dsgdb9nsd_000489,-264.3164
dsgdb9nsd_000490,-266.8248
dsgdb9nsd_000493,-285.3251
dsgdb9nsd_000494,-301.4182
dsgdb9nsd_000495,-269.3006
dsgdb9nsd_000499,-305.2158
dsgdb9nsd_000500,-321.3076
dsgdb9nsd_000501,-322.5038
dsgdb9nsd_000505,-232.1581
dsgdb9nsd_000506,-232.13
dsgdb9nsd_000507,-248.2273
dsgdb9nsd_000508,-269.312
dsgdb9nsd_000509,-302.663
dsgdb9nsd_000511,-232.1449
dsgdb9nsd_000512,-248.2358
dsgdb9nsd_000514,-284.1235
dsgdb9nsd_000517,-234.6261
dsgdb9nsd_000519,-306.4079
dsgdb9nsd_000520,-287.8128
dsgdb9nsd_000521,-270.5237
dsgdb9nsd_000522,-234.6268
dsgdb9nsd_000524,-287.8187
dsgdb9nsd_000525,-234.6158
dsgdb9nsd_000526,-250.7148
dsgdb9nsd_000527,-266.736
dsgdb9nsd_000530,-270.5048
dsgdb9nsd_000531,-286.6026
dsgdb9nsd_000532,-270.5116
dsgdb9nsd_000534,-271.7933
dsgdb9nsd_000535,-287.8558
dsgdb9nsd_000536,-307.7148
dsgdb9nsd_000539,-307.6895
dsgdb9nsd_000540,-323.7551
dsgdb9nsd_000541,-323.7223
dsgdb9nsd_000542,-343.613
dsgdb9nsd_000544,-273.003
dsgdb9nsd_000545,-272.9955
dsgdb9nsd_000547,-308.901
dsgdb9nsd_000548,-308.8911
dsgdb9nsd_000549,-308.8829
dsgdb9nsd_000550,-308.8997
dsgdb9nsd_000552,-269.2663
dsgdb9nsd_000553,-269.266
dsgdb9nsd_000554,-249.472
dsgdb9nsd_000555,-265.497
dsgdb9nsd_000556,-285.3615
dsgdb9nsd_000558,-270.551
dsgdb9nsd_000559,-306.4451
dsgdb9nsd_000561,-286.6078
dsgdb9nsd_000562,-286.5923
dsgdb9nsd_000563,-235.8631
dsgdb9nsd_000566,-271.7558
dsgdb9nsd_000567,-307.6476
dsgdb9nsd_000569,-307.6622
dsgdb9nsd_000571,-233.3683
dsgdb9nsd_000572,-269.2654
dsgdb9nsd_000574,-249.4671
dsgdb9nsd_000575,-265.4936
dsgdb9nsd_000576,-285.3625
dsgdb9nsd_000577,-265.4836
dsgdb9nsd_000578,-286.5749
dsgdb9nsd_000580,-286.5744
dsgdb9nsd_000584,-306.4655
dsgdb9nsd_000585,-233.3816
dsgdb9nsd_000586,-249.4096
dsgdb9nsd_000587,-269.2755
dsgdb9nsd_000589,-271.759
dsgdb9nsd_000593,-287.7769
dsgdb9nsd_000594,-307.6452
dsgdb9nsd_000595,-271.7567
dsgdb9nsd_000602,-269.2713
dsgdb9nsd_000603,-285.3655
dsgdb9nsd_000605,-265.488
dsgdb9nsd_000606,-269.2718
dsgdb9nsd_000607,-285.3692
dsgdb9nsd_000608,-270.5532
dsgdb9nsd_000609,-286.5941
dsgdb9nsd_000613,-306.4508
dsgdb9nsd_000615,-287.7923
dsgdb9nsd_000616,-307.6618
dsgdb9nsd_000618,-271.7597
dsgdb9nsd_000619,-251.8803
dsgdb9nsd_000622,-287.7746
dsgdb9nsd_000623,-271.7507
dsgdb9nsd_000624,-307.6478
dsgdb9nsd_000627,-286.5942
dsgdb9nsd_000629,-286.5995
dsgdb9nsd_000630,-286.6258
dsgdb9nsd_000633,-302.6559
dsgdb9nsd_000635,-271.7585
dsgdb9nsd_000636,-251.8854
dsgdb9nsd_000637,-271.762
dsgdb9nsd_000640,-234.6165
dsgdb9nsd_000642,-270.51
dsgdb9nsd_000643,-286.5401
dsgdb9nsd_000644,-270.5196
dsgdb9nsd_000646,-233.3826
dsgdb9nsd_000647,-269.2738
dsgdb9nsd_000648,-234.638
dsgdb9nsd_000651,-234.5925
dsgdb9nsd_000652,-270.4796
dsgdb9nsd_000653,-270.4963
dsgdb9nsd_000654,-306.3829
dsgdb9nsd_000655,-270.5576
dsgdb9nsd_000659,-271.7923
dsgdb9nsd_000660,-307.6828
dsgdb9nsd_000661,-307.6912
dsgdb9nsd_000662,-234.6158
dsgdb9nsd_000665,-234.6136
dsgdb9nsd_000666,-270.5051
dsgdb9nsd_000667,-270.5153
dsgdb9nsd_000673,-234.6493
dsgdb9nsd_000674,-270.5398
dsgdb9nsd_000675,-270.5446
dsgdb9nsd_000676,-306.4325
dsgdb9nsd_000677,-270.5528
dsgdb9nsd_000679,-306.4418
dsgdb9nsd_000680,-285.3412
dsgdb9nsd_000683,-285.3391
dsgdb9nsd_000684,-305.207
dsgdb9nsd_000692,-286.5481
dsgdb9nsd_000694,-286.5415
dsgdb9nsd_000695,-233.3392
dsgdb9nsd_000696,-249.3586
dsgdb9nsd_000697,-269.2269
dsgdb9nsd_000698,-265.3827
dsgdb9nsd_000699,-285.2464
dsgdb9nsd_000700,-305.1092
dsgdb9nsd_000702,-270.5125
dsgdb9nsd_000704,-266.6751
dsgdb9nsd_000705,-286.5406
dsgdb9nsd_000706,-306.4097
dsgdb9nsd_000712,-285.2591
dsgdb9nsd_000714,-249.3911
dsgdb9nsd_000715,-233.3645
dsgdb9nsd_000716,-249.403
dsgdb9nsd_000717,-249.3799
dsgdb9nsd_000718,-269.2528
dsgdb9nsd_000719,-232.073
dsgdb9nsd_000720,-248.1045
dsgdb9nsd_000721,-264.303
dsgdb9nsd_000722,-280.3117
dsgdb9nsd_000723,-296.3369
dsgdb9nsd_000726,-265.5394
dsgdb9nsd_000728,-281.5636
dsgdb9nsd_000731,-281.5635
dsgdb9nsd_000732,-285.3741
dsgdb9nsd_000734,-281.5924
dsgdb9nsd_000735,-301.4334
dsgdb9nsd_000738,-281.5702
dsgdb9nsd_000739,-297.5986
dsgdb9nsd_000740,-285.3779
dsgdb9nsd_000742,-301.39
dsgdb9nsd_000743,-317.4222
dsgdb9nsd_000744,-265.5318
dsgdb9nsd_000745,-281.5566
dsgdb9nsd_000748,-297.5854
dsgdb9nsd_000749,-281.5643
dsgdb9nsd_000750,-297.5917
dsgdb9nsd_000759,-317.4483
dsgdb9nsd_000760,-281.5684
dsgdb9nsd_000761,-297.5996
dsgdb9nsd_000762,-301.4056
dsgdb9nsd_000766,-281.5772
dsgdb9nsd_000767,-297.6326
dsgdb9nsd_000768,-297.6069
dsgdb9nsd_000771,-317.4732
dsgdb9nsd_000772,-317.4275
dsgdb9nsd_000773,-333.462
dsgdb9nsd_000774,-317.5119
dsgdb9nsd_000775,-337.3536
dsgdb9nsd_000778,-357.2104
dsgdb9nsd_000780,-301.439
dsgdb9nsd_000784,-301.445
dsgdb9nsd_000785,-317.4976
dsgdb9nsd_000787,-333.5017
dsgdb9nsd_000788,-321.2825
dsgdb9nsd_000789,-337.3353
dsgdb9nsd_000790,-353.3217
dsgdb9nsd_000792,-324.6163
dsgdb9nsd_000796,-327.1088
dsgdb9nsd_000798,-417.1161
dsgdb9nsd_000801,-363.009
dsgdb9nsd_000802,-325.8655
dsgdb9nsd_000804,-361.7653
dsgdb9nsd_000805,-322.1211
dsgdb9nsd_000809,-363.0074
dsgdb9nsd_000810,-325.8656
dsgdb9nsd_000811,-341.8921
dsgdb9nsd_000813,-361.7642
dsgdb9nsd_000817,-325.8962
dsgdb9nsd_000818,-361.7872
dsgdb9nsd_000820,-341.894
dsgdb9nsd_000821,-361.7617
dsgdb9nsd_000823,-340.6384
dsgdb9nsd_000824,-360.5078
dsgdb9nsd_000826,-414.385
dsgdb9nsd_000828,-451.5622
dsgdb9nsd_000830,-452.7851
dsgdb9nsd_000832,-288.8284
dsgdb9nsd_000833,-308.687
dsgdb9nsd_000834,-304.8606
dsgdb9nsd_000835,-324.7198
dsgdb9nsd_000837,-344.5835
dsgdb9nsd_000838,-304.8619
dsgdb9nsd_000839,-324.728
dsgdb9nsd_000840,-340.7893
dsgdb9nsd_000842,-340.782
dsgdb9nsd_000845,-324.7413
dsgdb9nsd_000846,-340.7775
dsgdb9nsd_000850,-340.7555
dsgdb9nsd_000851,-340.7595
dsgdb9nsd_000852,-360.6194
dsgdb9nsd_000854,-356.825
dsgdb9nsd_000855,-376.6808
dsgdb9nsd_000857,-356.8245
dsgdb9nsd_000858,-376.6856
dsgdb9nsd_000861,-288.8304
dsgdb9nsd_000862,-308.6909
dsgdb9nsd_000864,-324.7257
dsgdb9nsd_000865,-324.7298
dsgdb9nsd_000866,-324.7428
dsgdb9nsd_000867,-340.7829
dsgdb9nsd_000868,-340.7888
dsgdb9nsd_000869,-360.6485
dsgdb9nsd_000870,-340.7767
dsgdb9nsd_000872,-320.8968
dsgdb9nsd_000875,-360.6248
dsgdb9nsd_000878,-376.6822
dsgdb9nsd_000882,-340.8061
dsgdb9nsd_000883,-360.6672
dsgdb9nsd_000887,-380.5253
dsgdb9nsd_000890,-376.7004
dsgdb9nsd_000893,-396.559
dsgdb9nsd_000901,-304.851
dsgdb9nsd_000903,-304.8702
dsgdb9nsd_000904,-320.907
dsgdb9nsd_000905,-340.7758
dsgdb9nsd_000910,-339.5706
dsgdb9nsd_000912,-359.4233
dsgdb9nsd_000913,-375.4671
dsgdb9nsd_000917,-339.5306
dsgdb9nsd_000918,-339.5468
dsgdb9nsd_000919,-355.5857
dsgdb9nsd_000921,-339.5805
dsgdb9nsd_000922,-339.5714
dsgdb9nsd_000928,-359.4377
dsgdb9nsd_000929,-375.4775
dsgdb9nsd_000930,-271.586
dsgdb9nsd_000932,-287.6224
dsgdb9nsd_000933,-303.6572
dsgdb9nsd_000934,-303.661
dsgdb9nsd_000935,-287.6246
dsgdb9nsd_000936,-303.6648
dsgdb9nsd_000938,-303.6645
dsgdb9nsd_000940,-287.6262
dsgdb9nsd_000942,-319.7042
dsgdb9nsd_000943,-319.7003
dsgdb9nsd_000945,-319.7183
dsgdb9nsd_000947,-319.7155
dsgdb9nsd_000948,-335.765
dsgdb9nsd_000950,-323.531
dsgdb9nsd_000951,-323.5265
dsgdb9nsd_000952,-339.5728
dsgdb9nsd_000953,-339.5641
dsgdb9nsd_000957,-339.5838
dsgdb9nsd_000958,-355.6276
dsgdb9nsd_000959,-288.8274
dsgdb9nsd_000961,-304.8788
dsgdb9nsd_000965,-340.7744
dsgdb9nsd_000966,-304.8618
dsgdb9nsd_000969,-324.7262
dsgdb9nsd_000970,-344.5833
dsgdb9nsd_000972,-360.6422
dsgdb9nsd_000973,-324.7268
dsgdb9nsd_000975,-340.7558
dsgdb9nsd_000976,-356.8085
dsgdb9nsd_000977,-340.7598
dsgdb9nsd_000978,-360.6162
dsgdb9nsd_000980,-376.6737
dsgdb9nsd_000981,-340.7629
dsgdb9nsd_000982,-356.8152
dsgdb9nsd_000983,-360.6174
dsgdb9nsd_000985,-376.679
dsgdb9nsd_000986,-288.8264
dsgdb9nsd_000987,-304.8588
dsgdb9nsd_000988,-324.724
dsgdb9nsd_000989,-308.6831
dsgdb9nsd_000991,-320.8919
dsgdb9nsd_000992,-340.7589
dsgdb9nsd_000993,-340.7498
dsgdb9nsd_000994,-360.6212
dsgdb9nsd_000995,-288.8199
dsgdb9nsd_000996,-304.8544
dsgdb9nsd_000997,-324.7201
dsgdb9nsd_000998,-304.8708
dsgdb9nsd_000999,-340.7792
dsgdb9nsd_001000,-304.8694
dsgdb9nsd_001001,-340.7679
dsgdb9nsd_001002,-340.7968
dsgdb9nsd_001004,-360.6553
dsgdb9nsd_001006,-306.1924
dsgdb9nsd_001007,-302.3864
dsgdb9nsd_001010,-322.2371
dsgdb9nsd_001011,-302.4355
dsgdb9nsd_001013,-318.4799
dsgdb9nsd_001014,-338.3305
dsgdb9nsd_001015,-318.4764
dsgdb9nsd_001016,-338.3261
dsgdb9nsd_001020,-322.2381
dsgdb9nsd_001023,-322.2864
dsgdb9nsd_001025,-323.5208
dsgdb9nsd_001031,-323.5199
dsgdb9nsd_001034,-359.4147
dsgdb9nsd_001037,-340.7505
dsgdb9nsd_001038,-360.6088
dsgdb9nsd_001040,-308.6818
dsgdb9nsd_001042,-304.8742
dsgdb9nsd_001043,-324.7329
dsgdb9nsd_001044,-304.8493
dsgdb9nsd_001045,-324.7092
dsgdb9nsd_001047,-340.7675
dsgdb9nsd_001048,-324.7082
dsgdb9nsd_001050,-340.7609
dsgdb9nsd_001051,-360.618
dsgdb9nsd_001053,-360.6283
dsgdb9nsd_001054,-340.7635
dsgdb9nsd_001055,-324.7208
dsgdb9nsd_001057,-340.7637
dsgdb9nsd_001058,-360.6249
dsgdb9nsd_001059,-340.7712
dsgdb9nsd_001060,-360.6284
dsgdb9nsd_001061,-288.8218
dsgdb9nsd_001062,-304.873
dsgdb9nsd_001064,-324.7292
dsgdb9nsd_001066,-320.903
dsgdb9nsd_001067,-324.7045
dsgdb9nsd_001070,-340.7654
dsgdb9nsd_001072,-360.6203
dsgdb9nsd_001073,-324.7196
dsgdb9nsd_001076,-360.6241
dsgdb9nsd_001077,-288.8173
dsgdb9nsd_001078,-304.8658
dsgdb9nsd_001079,-287.5575
dsgdb9nsd_001080,-303.6031
dsgdb9nsd_001083,-309.8438
dsgdb9nsd_001085,-290.0333
dsgdb9nsd_001086,-309.8371
dsgdb9nsd_001089,-327.1754
dsgdb9nsd_001090,-347.0359
dsgdb9nsd_001095,-312.328
dsgdb9nsd_001096,-312.3206
dsgdb9nsd_001097,-312.3145
dsgdb9nsd_001099,-311.121
dsgdb9nsd_001104,-276.4179
dsgdb9nsd_001105,-312.3258
dsgdb9nsd_001106,-312.3239
dsgdb9nsd_001107,-348.2302
dsgdb9nsd_001108,-342.0105
dsgdb9nsd_001109,-358.0628
dsgdb9nsd_001112,-345.8217
dsgdb9nsd_001113,-361.8868
dsgdb9nsd_001119,-393.9962
dsgdb9nsd_001121,-327.185
dsgdb9nsd_001122,-327.1844
dsgdb9nsd_001123,-343.2359
dsgdb9nsd_001124,-347.054
dsgdb9nsd_001127,-347.0246
dsgdb9nsd_001130,-276.422
dsgdb9nsd_001131,-312.3254
dsgdb9nsd_001133,-348.2291
dsgdb9nsd_001134,-325.9297
dsgdb9nsd_001135,-309.8844
dsgdb9nsd_001137,-345.8225
dsgdb9nsd_001140,-346.9901
dsgdb9nsd_001141,-275.185
dsgdb9nsd_001142,-311.0932
dsgdb9nsd_001143,-311.0901
dsgdb9nsd_001144,-327.1089
dsgdb9nsd_001145,-275.1798
dsgdb9nsd_001146,-311.0838
dsgdb9nsd_001147,-311.09
dsgdb9nsd_001149,-273.9236
dsgdb9nsd_001150,-309.8175
dsgdb9nsd_001151,-309.8268
dsgdb9nsd_001152,-345.7269
dsgdb9nsd_001154,-287.5343
dsgdb9nsd_001155,-303.6278
dsgdb9nsd_001156,-303.5653
dsgdb9nsd_001158,-307.3364
dsgdb9nsd_001159,-323.4315
dsgdb9nsd_001160,-339.5224
dsgdb9nsd_001162,-324.716
dsgdb9nsd_001163,-344.5184
dsgdb9nsd_001164,-360.6112
dsgdb9nsd_001165,-345.7977
dsgdb9nsd_001168,-325.9295
dsgdb9nsd_001170,-341.9678
dsgdb9nsd_001171,-341.9659
dsgdb9nsd_001172,-345.7366
dsgdb9nsd_001173,-361.8298
dsgdb9nsd_001174,-273.9307
dsgdb9nsd_001176,-306.0611
dsgdb9nsd_001177,-309.8343
dsgdb9nsd_001180,-309.8182
dsgdb9nsd_001185,-347.0135
dsgdb9nsd_001187,-348.2177
dsgdb9nsd_001188,-384.13
dsgdb9nsd_001190,-312.319
dsgdb9nsd_001191,-312.3144
dsgdb9nsd_001192,-312.3269
dsgdb9nsd_001193,-348.2286
dsgdb9nsd_001194,-348.213
dsgdb9nsd_001195,-308.6395
dsgdb9nsd_001196,-324.6993
dsgdb9nsd_001197,-273.9446
dsgdb9nsd_001198,-309.8463
dsgdb9nsd_001199,-306.1553
dsgdb9nsd_001200,-322.2407
dsgdb9nsd_001201,-322.2151
dsgdb9nsd_001202,-338.3013
dsgdb9nsd_001205,-324.6598
dsgdb9nsd_001206,-340.7487
dsgdb9nsd_001207,-308.6327
dsgdb9nsd_001209,-324.687
dsgdb9nsd_001211,-344.5515
dsgdb9nsd_001212,-360.6456
dsgdb9nsd_001214,-340.7922
dsgdb9nsd_001215,-340.7383
dsgdb9nsd_001216,-356.8344
dsgdb9nsd_001217,-360.6055
dsgdb9nsd_001220,-345.8098
dsgdb9nsd_001221,-361.8741
dsgdb9nsd_001222,-361.8345
dsgdb9nsd_001223,-381.7258
dsgdb9nsd_001225,-381.7308
dsgdb9nsd_001226,-361.8711
dsgdb9nsd_001227,-377.9353
dsgdb9nsd_001229,-397.7866
dsgdb9nsd_001230,-377.9182
dsgdb9nsd_001231,-397.7855
dsgdb9nsd_001234,-287.5535
dsgdb9nsd_001237,-308.6284
dsgdb9nsd_001238,-344.5257
dsgdb9nsd_001241,-306.0544
dsgdb9nsd_001243,-325.9189
dsgdb9nsd_001244,-309.8358
dsgdb9nsd_001245,-325.9349
dsgdb9nsd_001247,-311.1097
dsgdb9nsd_001249,-347.0327
