id,molecule_name,atom_index_0,atom_index_1,type,scalar_coupling_constant
45,dsgdb9nsd_000007,7,1,1JHC,83.5486
46,dsgdb9nsd_000008,2,0,1JHC,87.6326
47,dsgdb9nsd_000008,2,3,2JHH,-6.48291
48,dsgdb9nsd_000008,2,4,2JHH,-10.6098
49,dsgdb9nsd_000008,2,5,3JHH,1.43077
50,dsgdb9nsd_000008,3,0,1JHC,87.6253
51,dsgdb9nsd_000008,3,4,2JHH,-10.6153
52,dsgdb9nsd_000008,3,5,3JHH,1.45233
53,dsgdb9nsd_000008,4,0,1JHC,90.0888
54,dsgdb9nsd_000008,4,5,3JHH,13.7865
55,dsgdb9nsd_000008,5,0,2JHC,-1.36995
56,dsgdb9nsd_000009,3,0,1JHC,91.4487
57,dsgdb9nsd_000009,3,1,2JHC,-9.47657
58,dsgdb9nsd_000009,3,2,3JHC,4.55166
59,dsgdb9nsd_000009,3,4,2JHH,-14.9228
60,dsgdb9nsd_000009,3,5,2JHH,-14.9192
61,dsgdb9nsd_000009,4,0,1JHC,91.4554
62,dsgdb9nsd_000009,4,1,2JHC,-9.47261
63,dsgdb9nsd_000009,4,2,3JHC,4.5541
64,dsgdb9nsd_000009,4,5,2JHH,-14.9189
65,dsgdb9nsd_000009,5,0,1JHC,91.4543
66,dsgdb9nsd_000009,5,1,2JHC,-9.47256
67,dsgdb9nsd_000009,5,2,3JHC,4.55341
68,dsgdb9nsd_000009,6,0,3JHC,2.51865
69,dsgdb9nsd_000009,6,1,2JHC,19.9423
70,dsgdb9nsd_000009,6,2,1JHC,198.913
71,dsgdb9nsd_000010,3,0,1JHC,91.6355
72,dsgdb9nsd_000010,3,1,2JHC,-7.71329
73,dsgdb9nsd_000010,3,2,3JHN,0.880802
74,dsgdb9nsd_000010,3,4,2JHH,-14.6297
75,dsgdb9nsd_000010,3,5,2JHH,-14.6235
76,dsgdb9nsd_000010,4,0,1JHC,91.6216
77,dsgdb9nsd_000010,4,1,2JHC,-7.71687
78,dsgdb9nsd_000010,4,2,3JHN,0.880957
79,dsgdb9nsd_000010,4,5,2JHH,-14.624
80,dsgdb9nsd_000010,5,0,1JHC,91.6253
81,dsgdb9nsd_000010,5,1,2JHC,-7.71673
82,dsgdb9nsd_000010,5,2,3JHN,0.880871
83,dsgdb9nsd_000011,3,0,1JHC,88.2837
84,dsgdb9nsd_000011,3,1,2JHC,-6.56689
85,dsgdb9nsd_000011,3,4,2JHH,-10.288
86,dsgdb9nsd_000011,3,5,2JHH,-10.3383
87,dsgdb9nsd_000011,3,6,3JHH,6.79204
88,dsgdb9nsd_000011,4,0,1JHC,82.5141
89,dsgdb9nsd_000011,4,1,2JHC,-3.78105
90,dsgdb9nsd_000011,4,5,2JHH,-17.5775
91,dsgdb9nsd_000011,4,6,3JHH,0.198425
92,dsgdb9nsd_000011,5,0,1JHC,82.5131
93,dsgdb9nsd_000011,5,1,2JHC,-3.77172
94,dsgdb9nsd_000011,5,6,3JHH,0.188092
95,dsgdb9nsd_000011,6,0,2JHC,31.7736
96,dsgdb9nsd_000011,6,1,1JHC,110.715
97,dsgdb9nsd_000012,3,0,1JHN,55.5252
98,dsgdb9nsd_000012,3,1,2JHC,-4.06172
99,dsgdb9nsd_000012,3,4,2JHH,5.32819
100,dsgdb9nsd_000012,3,5,3JHH,12.0536
101,dsgdb9nsd_000012,4,0,1JHN,54.7359
102,dsgdb9nsd_000012,4,1,2JHC,6.65967
103,dsgdb9nsd_000012,4,5,3JHH,-0.702123
104,dsgdb9nsd_000012,5,0,2JHN,15.5135
105,dsgdb9nsd_000012,5,1,1JHC,109.301
106,dsgdb9nsd_000013,3,0,1JHC,83.5132
107,dsgdb9nsd_000013,3,1,2JHC,-2.03004
108,dsgdb9nsd_000013,3,2,3JHC,2.51277
109,dsgdb9nsd_000013,3,4,2JHH,-11.4317
110,dsgdb9nsd_000013,3,5,2JHH,-11.4795
111,dsgdb9nsd_000013,3,6,3JHH,3.42929
112,dsgdb9nsd_000013,3,7,3JHH,12.3307
113,dsgdb9nsd_000013,4,0,1JHC,83.5143
114,dsgdb9nsd_000013,4,1,2JHC,-2.03044
115,dsgdb9nsd_000013,4,2,3JHC,2.51802
116,dsgdb9nsd_000013,4,5,2JHH,-11.48
117,dsgdb9nsd_000013,4,6,3JHH,12.3318
118,dsgdb9nsd_000013,4,7,3JHH,3.42409
119,dsgdb9nsd_000013,5,0,1JHC,80.7047
120,dsgdb9nsd_000013,5,1,2JHC,-1.68999
121,dsgdb9nsd_000013,5,2,3JHC,10.4392
122,dsgdb9nsd_000013,5,6,3JHH,2.89449
123,dsgdb9nsd_000013,5,7,3JHH,2.89907
124,dsgdb9nsd_000013,6,0,2JHC,-1.90351
125,dsgdb9nsd_000013,6,1,1JHC,81.2568
126,dsgdb9nsd_000013,6,2,2JHC,-1.90365
127,dsgdb9nsd_000013,6,7,2JHH,-12.0396
128,dsgdb9nsd_000013,6,8,3JHH,3.42413
129,dsgdb9nsd_000013,6,9,3JHH,2.89903
130,dsgdb9nsd_000013,6,10,3JHH,12.3307
131,dsgdb9nsd_000013,7,0,2JHC,-1.90366
132,dsgdb9nsd_000013,7,1,1JHC,81.2568
133,dsgdb9nsd_000013,7,2,2JHC,-1.90351
134,dsgdb9nsd_000013,7,8,3JHH,12.3318
135,dsgdb9nsd_000013,7,9,3JHH,2.89454
136,dsgdb9nsd_000013,7,10,3JHH,3.42924
137,dsgdb9nsd_000013,8,0,3JHC,2.51798
138,dsgdb9nsd_000013,8,1,2JHC,-2.03044
139,dsgdb9nsd_000013,8,2,1JHC,83.5142
140,dsgdb9nsd_000013,8,9,2JHH,-11.48
141,dsgdb9nsd_000013,8,10,2JHH,-11.4317
142,dsgdb9nsd_000013,9,0,3JHC,10.4392
143,dsgdb9nsd_000013,9,1,2JHC,-1.68999
144,dsgdb9nsd_000013,9,2,1JHC,80.7047
145,dsgdb9nsd_000013,9,10,2JHH,-11.4795
146,dsgdb9nsd_000013,10,0,3JHC,2.51282
147,dsgdb9nsd_000013,10,1,2JHC,-2.03003
148,dsgdb9nsd_000013,10,2,1JHC,83.5133
149,dsgdb9nsd_000014,3,0,1JHC,85.2823
150,dsgdb9nsd_000014,3,1,2JHC,-4.43181
151,dsgdb9nsd_000014,3,4,2JHH,-10.8404
152,dsgdb9nsd_000014,3,5,2JHH,-11.4989
153,dsgdb9nsd_000014,3,6,3JHH,4.38776
154,dsgdb9nsd_000014,3,7,3JHH,11.4717
155,dsgdb9nsd_000014,4,0,1JHC,85.2808
156,dsgdb9nsd_000014,4,1,2JHC,-4.43083
157,dsgdb9nsd_000014,4,5,2JHH,-11.498
158,dsgdb9nsd_000014,4,6,3JHH,11.472
159,dsgdb9nsd_000014,4,7,3JHH,4.38972
160,dsgdb9nsd_000014,5,0,1JHC,78.9025
161,dsgdb9nsd_000014,5,1,2JHC,1.95496
162,dsgdb9nsd_000014,5,6,3JHH,1.73801
163,dsgdb9nsd_000014,5,7,3JHH,1.73644
164,dsgdb9nsd_000014,6,0,2JHC,-1.09376
165,dsgdb9nsd_000014,6,1,1JHC,87.4056
166,dsgdb9nsd_000014,6,7,2JHH,-6.58585
167,dsgdb9nsd_000014,6,8,3JHH,1.24907
168,dsgdb9nsd_000014,7,0,2JHC,-1.0944
169,dsgdb9nsd_000014,7,1,1JHC,87.403
170,dsgdb9nsd_000014,7,8,3JHH,1.2525
171,dsgdb9nsd_000014,8,0,3JHC,8.02289
172,dsgdb9nsd_000014,8,1,2JHC,-0.958913
173,dsgdb9nsd_000017,3,0,1JHC,112.718
174,dsgdb9nsd_000017,3,1,2JHC,-0.997833
175,dsgdb9nsd_000017,3,4,2JHH,6.99425
176,dsgdb9nsd_000017,3,5,3JHH,0.708654
177,dsgdb9nsd_000017,3,6,3JHH,2.45664
178,dsgdb9nsd_000017,4,0,1JHC,112.718
179,dsgdb9nsd_000017,4,1,2JHC,-0.997797
180,dsgdb9nsd_000017,4,5,3JHH,2.45655
181,dsgdb9nsd_000017,4,6,3JHH,0.708671
182,dsgdb9nsd_000017,5,0,2JHC,-0.997781
183,dsgdb9nsd_000017,5,1,1JHC,112.718
184,dsgdb9nsd_000017,5,6,2JHH,6.99435
185,dsgdb9nsd_000017,6,0,2JHC,-0.997802
186,dsgdb9nsd_000017,6,1,1JHC,112.718
187,dsgdb9nsd_000018,4,0,1JHC,82.1639
188,dsgdb9nsd_000018,4,1,2JHC,-2.59258
189,dsgdb9nsd_000018,4,2,3JHC,-0.136894
190,dsgdb9nsd_000018,4,5,2JHH,-10.596
191,dsgdb9nsd_000018,4,6,2JHH,-16.4495
192,dsgdb9nsd_000018,5,0,1JHC,88.476
193,dsgdb9nsd_000018,5,1,2JHC,-5.54059
194,dsgdb9nsd_000018,5,2,3JHC,4.36272
195,dsgdb9nsd_000018,5,6,2JHH,-10.6044
196,dsgdb9nsd_000018,6,0,1JHC,82.1619
197,dsgdb9nsd_000018,6,1,2JHC,-2.59654
198,dsgdb9nsd_000018,6,2,3JHC,-0.138123
199,dsgdb9nsd_000018,7,0,3JHC,-0.136856
200,dsgdb9nsd_000018,7,1,2JHC,-2.59296
201,dsgdb9nsd_000018,7,2,1JHC,82.1635
202,dsgdb9nsd_000018,7,8,2JHH,-10.5967
203,dsgdb9nsd_000018,7,9,2JHH,-16.4495
204,dsgdb9nsd_000018,8,0,3JHC,4.36274
205,dsgdb9nsd_000018,8,1,2JHC,-5.54055
206,dsgdb9nsd_000018,8,2,1JHC,88.4762
207,dsgdb9nsd_000018,8,9,2JHH,-10.6034
208,dsgdb9nsd_000018,9,0,3JHC,-0.138109
209,dsgdb9nsd_000018,9,1,2JHC,-2.59645
210,dsgdb9nsd_000018,9,2,1JHC,82.162
211,dsgdb9nsd_000019,4,0,1JHC,80.4954
212,dsgdb9nsd_000019,4,1,2JHC,-3.06059
213,dsgdb9nsd_000019,4,2,3JHN,-0.052074
214,dsgdb9nsd_000019,4,5,2JHH,-10.0204
215,dsgdb9nsd_000019,4,6,2JHH,-13.7991
216,dsgdb9nsd_000019,5,0,1JHC,90.1684
217,dsgdb9nsd_000019,5,1,2JHC,-5.03352
218,dsgdb9nsd_000019,5,2,3JHN,1.61132
219,dsgdb9nsd_000019,5,6,2JHH,-13.4207
220,dsgdb9nsd_000019,6,0,1JHC,81.2516
221,dsgdb9nsd_000019,6,1,2JHC,-4.11622
222,dsgdb9nsd_000019,6,2,3JHN,-0.178433
223,dsgdb9nsd_000019,7,0,3JHC,0.655492
224,dsgdb9nsd_000019,7,1,2JHC,5.45984
225,dsgdb9nsd_000019,7,2,1JHN,54.064
226,dsgdb9nsd_000019,7,8,2JHH,4.90379
227,dsgdb9nsd_000019,8,0,3JHC,5.56731
228,dsgdb9nsd_000019,8,1,2JHC,-3.04214
229,dsgdb9nsd_000019,8,2,1JHN,56.186
230,dsgdb9nsd_000021,4,0,1JHC,83.4397
231,dsgdb9nsd_000021,4,1,2JHC,-1.76566
232,dsgdb9nsd_000021,4,2,3JHC,2.65926
233,dsgdb9nsd_000021,4,3,3JHC,2.69626
234,dsgdb9nsd_000021,4,5,2JHH,-11.3732
235,dsgdb9nsd_000021,4,6,2JHH,-11.3742
236,dsgdb9nsd_000021,4,7,3JHH,11.0034
237,dsgdb9nsd_000021,5,0,1JHC,80.7028
238,dsgdb9nsd_000021,5,1,2JHC,-1.42794
239,dsgdb9nsd_000021,5,2,3JHC,2.00635
240,dsgdb9nsd_000021,5,3,3JHC,9.31771
241,dsgdb9nsd_000021,5,6,2JHH,-11.19
242,dsgdb9nsd_000021,5,7,3JHH,3.03758
243,dsgdb9nsd_000021,6,0,1JHC,80.6771
244,dsgdb9nsd_000021,6,1,2JHC,-1.4268
245,dsgdb9nsd_000021,6,2,3JHC,9.31693
246,dsgdb9nsd_000021,6,3,3JHC,1.97351
247,dsgdb9nsd_000021,6,7,3JHH,3.06914
248,dsgdb9nsd_000021,7,0,2JHC,-1.32329
249,dsgdb9nsd_000021,7,1,1JHC,77.2346
250,dsgdb9nsd_000021,7,2,2JHC,-1.32423
251,dsgdb9nsd_000021,7,3,2JHC,-1.32247
252,dsgdb9nsd_000021,7,8,3JHH,11.0148
253,dsgdb9nsd_000021,7,9,3JHH,3.04792
254,dsgdb9nsd_000021,7,10,3JHH,3.06274
255,dsgdb9nsd_000021,7,11,3JHH,3.06131
256,dsgdb9nsd_000021,7,12,3JHH,3.04444
257,dsgdb9nsd_000021,7,13,3JHH,11.0047
258,dsgdb9nsd_000021,8,0,3JHC,2.685
259,dsgdb9nsd_000021,8,1,2JHC,-1.76031
260,dsgdb9nsd_000021,8,2,1JHC,83.4242
261,dsgdb9nsd_000021,8,3,3JHC,2.66497
262,dsgdb9nsd_000021,8,9,2JHH,-11.3772
263,dsgdb9nsd_000021,8,10,2JHH,-11.3787
264,dsgdb9nsd_000021,9,0,3JHC,9.3188
265,dsgdb9nsd_000021,9,1,2JHC,-1.42965
266,dsgdb9nsd_000021,9,2,1JHC,80.6861
267,dsgdb9nsd_000021,9,3,3JHC,1.99406
268,dsgdb9nsd_000021,9,10,2JHH,-11.1978
269,dsgdb9nsd_000021,10,0,3JHC,1.98204
270,dsgdb9nsd_000021,10,1,2JHC,-1.42472
271,dsgdb9nsd_000021,10,2,1JHC,80.7076
272,dsgdb9nsd_000021,10,3,3JHC,9.31476
273,dsgdb9nsd_000021,11,0,3JHC,1.9837
274,dsgdb9nsd_000021,11,1,2JHC,-1.42898
275,dsgdb9nsd_000021,11,2,3JHC,9.31839
276,dsgdb9nsd_000021,11,3,1JHC,80.6993
277,dsgdb9nsd_000021,11,12,2JHH,-11.1969
278,dsgdb9nsd_000021,11,13,2JHH,-11.3842
279,dsgdb9nsd_000021,12,0,3JHC,9.31384
280,dsgdb9nsd_000021,12,1,2JHC,-1.42304
281,dsgdb9nsd_000021,12,2,3JHC,1.99108
282,dsgdb9nsd_000021,12,3,1JHC,80.7016
283,dsgdb9nsd_000021,12,13,2JHH,-11.3681
284,dsgdb9nsd_000021,13,0,3JHC,2.68549
285,dsgdb9nsd_000021,13,1,2JHC,-1.76375
286,dsgdb9nsd_000021,13,2,3JHC,2.66653
287,dsgdb9nsd_000021,13,3,1JHC,83.4346
288,dsgdb9nsd_000023,4,0,3JHC,5.43401
289,dsgdb9nsd_000023,4,1,2JHC,18.0709
290,dsgdb9nsd_000023,4,2,1JHC,201.884
291,dsgdb9nsd_000023,5,0,2JHC,18.0709
292,dsgdb9nsd_000023,5,1,3JHC,5.43401
293,dsgdb9nsd_000023,5,3,1JHC,201.884
294,dsgdb9nsd_000026,4,1,1JHC,132.02
295,dsgdb9nsd_000026,4,2,2JHC,28.5246
296,dsgdb9nsd_000026,4,3,3JHC,5.05587
297,dsgdb9nsd_000026,5,1,3JHC,2.81577
298,dsgdb9nsd_000026,5,2,2JHC,16.7244
299,dsgdb9nsd_000026,5,3,1JHC,199.705
300,dsgdb9nsd_000027,4,1,1JHC,145.44
301,dsgdb9nsd_000027,4,2,2JHC,35.8414
302,dsgdb9nsd_000027,4,3,3JHN,0.969607
303,dsgdb9nsd_000028,4,1,1JHC,121.384
304,dsgdb9nsd_000028,4,2,2JHC,24.6163
305,dsgdb9nsd_000028,4,5,3JHH,8.84087
306,dsgdb9nsd_000028,5,1,2JHC,24.6163
307,dsgdb9nsd_000028,5,2,1JHC,121.384
308,dsgdb9nsd_000029,4,0,1JHC,92.2616
309,dsgdb9nsd_000029,4,1,2JHC,-9.36858
310,dsgdb9nsd_000029,4,2,3JHC,4.2858
311,dsgdb9nsd_000029,4,5,2JHH,-14.7712
312,dsgdb9nsd_000029,4,6,2JHH,-14.771
313,dsgdb9nsd_000029,5,0,1JHC,92.2621
314,dsgdb9nsd_000029,5,1,2JHC,-9.36823
315,dsgdb9nsd_000029,5,2,3JHC,4.28585
316,dsgdb9nsd_000029,5,6,2JHH,-14.7709
317,dsgdb9nsd_000029,6,0,1JHC,92.2619
318,dsgdb9nsd_000029,6,1,2JHC,-9.36869
319,dsgdb9nsd_000029,6,2,3JHC,4.28571
320,dsgdb9nsd_000029,7,1,3JHC,4.28587
321,dsgdb9nsd_000029,7,2,2JHC,-9.36847
322,dsgdb9nsd_000029,7,3,1JHC,92.2609
323,dsgdb9nsd_000029,7,8,2JHH,-14.7711
324,dsgdb9nsd_000029,7,9,2JHH,-14.7715
325,dsgdb9nsd_000029,8,1,3JHC,4.286
326,dsgdb9nsd_000029,8,2,2JHC,-9.36803
327,dsgdb9nsd_000029,8,3,1JHC,92.2624
328,dsgdb9nsd_000029,8,9,2JHH,-14.7713
329,dsgdb9nsd_000029,9,1,3JHC,4.28608
330,dsgdb9nsd_000029,9,2,2JHC,-9.369
331,dsgdb9nsd_000029,9,3,1JHC,92.2619
332,dsgdb9nsd_000030,4,0,1JHC,85.8525
333,dsgdb9nsd_000030,4,1,2JHC,-2.13349
334,dsgdb9nsd_000030,4,2,3JHC,2.37669
335,dsgdb9nsd_000030,4,5,2JHH,-11.6048
336,dsgdb9nsd_000030,4,6,2JHH,-11.0265
337,dsgdb9nsd_000030,4,7,3JHH,3.55205
338,dsgdb9nsd_000030,4,8,3JHH,12.3327
339,dsgdb9nsd_000030,5,0,1JHC,85.8515
340,dsgdb9nsd_000030,5,1,2JHC,-2.13344
341,dsgdb9nsd_000030,5,2,3JHC,2.37638
342,dsgdb9nsd_000030,5,6,2JHH,-11.0264
343,dsgdb9nsd_000030,5,7,3JHH,12.3327
344,dsgdb9nsd_000030,5,8,3JHH,3.55238
345,dsgdb9nsd_000030,6,0,1JHC,82.6491
346,dsgdb9nsd_000030,6,1,2JHC,-1.79039
347,dsgdb9nsd_000030,6,2,3JHC,10.8764
348,dsgdb9nsd_000030,6,7,3JHH,3.26033
349,dsgdb9nsd_000030,6,8,3JHH,3.25956
350,dsgdb9nsd_000030,7,0,2JHC,-3.47438
351,dsgdb9nsd_000030,7,1,1JHC,89.7223
352,dsgdb9nsd_000030,7,2,2JHC,-8.99494
353,dsgdb9nsd_000030,7,3,3JHC,4.22901
354,dsgdb9nsd_000030,7,8,2JHH,-15.5828
355,dsgdb9nsd_000030,8,0,2JHC,-3.47359
356,dsgdb9nsd_000030,8,1,1JHC,89.7237
357,dsgdb9nsd_000030,8,2,2JHC,-8.99289
358,dsgdb9nsd_000030,8,3,3JHC,4.22845
359,dsgdb9nsd_000030,9,1,3JHC,2.3197
360,dsgdb9nsd_000030,9,2,2JHC,19.0567
361,dsgdb9nsd_000030,9,3,1JHC,197.786
362,dsgdb9nsd_000031,4,0,1JHC,87.1682
363,dsgdb9nsd_000031,4,1,2JHC,-2.42751
364,dsgdb9nsd_000031,4,2,3JHC,2.35345
365,dsgdb9nsd_000031,4,5,2JHH,-11.6271
366,dsgdb9nsd_000031,4,6,2JHH,-11.4103
367,dsgdb9nsd_000031,4,7,3JHH,3.43972
368,dsgdb9nsd_000031,4,8,3JHH,12.5166
369,dsgdb9nsd_000031,5,0,1JHC,87.1739
370,dsgdb9nsd_000031,5,1,2JHC,-2.42385
371,dsgdb9nsd_000031,5,2,3JHC,2.35054
372,dsgdb9nsd_000031,5,6,2JHH,-11.4091
373,dsgdb9nsd_000031,5,7,3JHH,12.5241
374,dsgdb9nsd_000031,5,8,3JHH,3.44221
375,dsgdb9nsd_000031,6,0,1JHC,83.9573
376,dsgdb9nsd_000031,6,1,2JHC,-1.28607
377,dsgdb9nsd_000031,6,2,3JHC,10.9889
378,dsgdb9nsd_000031,6,7,3JHH,3.44107
379,dsgdb9nsd_000031,6,8,3JHH,3.43265
380,dsgdb9nsd_000031,7,0,2JHC,-3.26345
381,dsgdb9nsd_000031,7,1,1JHC,89.1637
382,dsgdb9nsd_000031,7,2,2JHC,-7.33637
383,dsgdb9nsd_000031,7,3,3JHN,0.843138
384,dsgdb9nsd_000031,7,8,2JHH,-15.3818
385,dsgdb9nsd_000031,8,0,2JHC,-3.26108
386,dsgdb9nsd_000031,8,1,1JHC,89.2314
387,dsgdb9nsd_000031,8,2,2JHC,-7.30161
388,dsgdb9nsd_000031,8,3,3JHN,0.842563
389,dsgdb9nsd_000032,4,0,1JHN,37.719
390,dsgdb9nsd_000032,4,1,2JHC,0.012826
391,dsgdb9nsd_000032,4,2,3JHC,11.2916
392,dsgdb9nsd_000032,4,5,2JHH,-9.33662
393,dsgdb9nsd_000032,4,6,3JHH,1.74122
394,dsgdb9nsd_000032,4,7,3JHH,3.04522
395,dsgdb9nsd_000032,5,0,1JHN,38.3495
396,dsgdb9nsd_000032,5,1,2JHC,-1.43873
397,dsgdb9nsd_000032,5,2,3JHC,1.14929
398,dsgdb9nsd_000032,5,6,3JHH,2.74919
399,dsgdb9nsd_000032,5,7,3JHH,13.5658
400,dsgdb9nsd_000032,6,0,2JHN,0.633806
401,dsgdb9nsd_000032,6,1,1JHC,93.2825
402,dsgdb9nsd_000032,6,2,2JHC,-4.94776
403,dsgdb9nsd_000032,6,3,3JHN,0.813366
404,dsgdb9nsd_000032,6,7,2JHH,-14.7426
405,dsgdb9nsd_000032,7,0,2JHN,1.3783
406,dsgdb9nsd_000032,7,1,1JHC,95.2249
407,dsgdb9nsd_000032,7,2,2JHC,-8.65922
408,dsgdb9nsd_000032,7,3,3JHN,0.859255
409,dsgdb9nsd_000033,4,1,2JHC,-0.772955
410,dsgdb9nsd_000033,4,2,3JHC,9.45293
411,dsgdb9nsd_000033,4,5,3JHH,1.56051
412,dsgdb9nsd_000033,4,6,3JHH,1.56641
413,dsgdb9nsd_000033,5,1,1JHC,96.8652
414,dsgdb9nsd_000033,5,2,2JHC,-8.56821
415,dsgdb9nsd_000033,5,3,3JHC,3.98299
416,dsgdb9nsd_000033,5,6,2JHH,-12.8566
417,dsgdb9nsd_000033,6,1,1JHC,96.8612
418,dsgdb9nsd_000033,6,2,2JHC,-8.57004
419,dsgdb9nsd_000033,6,3,3JHC,3.98286
420,dsgdb9nsd_000033,7,1,3JHC,2.40507
421,dsgdb9nsd_000033,7,2,2JHC,19.1577
422,dsgdb9nsd_000033,7,3,1JHC,198.985
423,dsgdb9nsd_000034,4,1,2JHC,-0.23994
424,dsgdb9nsd_000034,4,2,3JHC,10.2371
425,dsgdb9nsd_000034,4,5,3JHH,1.62757
426,dsgdb9nsd_000034,4,6,3JHH,1.64894
427,dsgdb9nsd_000034,5,1,1JHC,96.4584
428,dsgdb9nsd_000034,5,2,2JHC,-6.75576
429,dsgdb9nsd_000034,5,3,3JHN,0.84687
430,dsgdb9nsd_000034,5,6,2JHH,-12.6575
431,dsgdb9nsd_000034,6,1,1JHC,96.4441
432,dsgdb9nsd_000034,6,2,2JHC,-6.76242
433,dsgdb9nsd_000034,6,3,3JHN,0.846898
434,dsgdb9nsd_000037,4,0,1JHC,89.6169
435,dsgdb9nsd_000037,4,2,3JHC,4.23671
436,dsgdb9nsd_000037,4,5,2JHH,-9.99405
437,dsgdb9nsd_000037,4,6,2JHH,-8.74586
438,dsgdb9nsd_000037,5,0,1JHC,94.9652
439,dsgdb9nsd_000037,5,2,3JHC,10.7602
440,dsgdb9nsd_000037,5,6,2JHH,-9.99519
441,dsgdb9nsd_000037,6,0,1JHC,89.6164
442,dsgdb9nsd_000037,6,2,3JHC,4.2449
443,dsgdb9nsd_000037,7,0,3JHC,3.78426
444,dsgdb9nsd_000037,7,2,1JHC,126.361
445,dsgdb9nsd_000038,4,1,2JHC,-0.727505
446,dsgdb9nsd_000038,4,2,3JHC,-0.807139
447,dsgdb9nsd_000038,4,5,3JHH,3.20052
448,dsgdb9nsd_000038,4,6,3JHH,13.4737
449,dsgdb9nsd_000038,5,1,1JHC,93.6533
450,dsgdb9nsd_000038,5,2,2JHC,-1.94209
451,dsgdb9nsd_000038,5,6,2JHH,-16.5694
452,dsgdb9nsd_000038,5,7,3JHH,2.99956
453,dsgdb9nsd_000038,6,1,1JHC,89.6056
454,dsgdb9nsd_000038,6,2,2JHC,-3.97439
455,dsgdb9nsd_000038,6,7,3JHH,-0.269419
456,dsgdb9nsd_000038,7,1,2JHC,25.0115
457,dsgdb9nsd_000038,7,2,1JHC,114.68
458,dsgdb9nsd_000039,4,0,1JHC,84.2949
459,dsgdb9nsd_000039,4,1,2JHC,-2.00568
460,dsgdb9nsd_000039,4,2,3JHC,2.37176
461,dsgdb9nsd_000039,4,5,2JHH,-11.3904
462,dsgdb9nsd_000039,4,6,2JHH,-11.5733
463,dsgdb9nsd_000039,4,7,3JHH,3.42799
464,dsgdb9nsd_000039,4,8,3JHH,12.3505
465,dsgdb9nsd_000039,5,0,1JHC,84.3057
466,dsgdb9nsd_000039,5,1,2JHC,-2.0078
467,dsgdb9nsd_000039,5,2,3JHC,2.39739
468,dsgdb9nsd_000039,5,6,2JHH,-11.5742
469,dsgdb9nsd_000039,5,7,3JHH,12.352
470,dsgdb9nsd_000039,5,8,3JHH,3.40096
471,dsgdb9nsd_000039,6,0,1JHC,81.1853
472,dsgdb9nsd_000039,6,1,2JHC,-1.75442
473,dsgdb9nsd_000039,6,2,3JHC,10.0683
474,dsgdb9nsd_000039,6,7,3JHH,2.94342
