molecule_name,atom_index,XX,YX,ZX,XY,YY,ZY,XZ,YZ,ZZ
dsgdb9nsd_000008,2,31.1875,-2.4626,4.2006,-1.4452,25.3385,-1.6955,1.4855,-1.8006,27.7574
dsgdb9nsd_000008,3,31.1879,-2.4714,-4.1953,-1.4485,25.3464,1.6992,-1.483,1.8055,27.7502
dsgdb9nsd_000008,4,31.3344,4.4993,-0.0047,1.7401,28.1958,-0.0042,-0.0016,-0.0054,25.2997
dsgdb9nsd_000008,5,34.3675,7.175,-0.0004,5.5269,40.3643,0.0012,0.0013,-0.0003,23.6893
dsgdb9nsd_000009,0,201.081,0.0018,0.0002,0.0029,178.642,0.001,0.0008,0.001,178.642
dsgdb9nsd_000009,1,292.067,-0.0106,0.0025,-0.0615,32.745,-0.0002,0.0615,-0.0002,32.7449
dsgdb9nsd_000009,2,260.832,-0.0199,0.0144,0.0248,60.6636,-0.0001,-0.0319,-0.0001,60.6651
dsgdb9nsd_000009,3,31.4411,-2.4509,4.3815,-1.501,27.2642,-3.2667,2.6832,-3.2668,31.2766
dsgdb9nsd_000009,4,31.44,-2.5681,-4.3134,-1.5727,27.4438,3.3708,-2.6409,3.3706,31.0971
dsgdb9nsd_000009,5,31.4391,5.0193,-0.0683,3.0726,33.1038,-0.104,-0.0416,-0.1037,25.4375
dsgdb9nsd_000009,6,40.2342,-0.0034,0.0041,0.002,25.5483,0,-0.0024,0,25.5483
dsgdb9nsd_000010,0,202.739,0.0045,-0.0032,0.0047,182.16,-0.0026,-0.0015,-0.0027,182.165
dsgdb9nsd_000010,1,289.861,0.0072,-0.0294,0.0152,-19.189,0.0005,-0.0614,0.0005,-19.189
dsgdb9nsd_000010,2,312.471,0.0171,-0.0652,0.0084,-156.691,-0.0044,-0.0159,-0.0044,-156.687
dsgdb9nsd_000010,3,30.8142,-2.2618,4.3084,-1.2669,27.4584,-3.1841,2.4131,-3.1843,31.8527
dsgdb9nsd_000010,4,30.8164,-2.6016,-4.1134,-1.4569,27.9969,3.494,-2.3042,3.4949,31.3145
dsgdb9nsd_000010,5,30.8161,4.8633,-0.1948,2.7232,33.512,-0.3103,-0.1096,-0.311,25.7997
dsgdb9nsd_000011,0,173.319,-34.9358,-0.0612,-19.2913,158.471,0.0146,-0.0469,0.0349,147.651
dsgdb9nsd_000011,1,-13.8561,22.9944,-0.0122,20.5661,-79.9195,0.006,-0.0157,-0.0052,104.23
dsgdb9nsd_000011,2,-714.277,-219.534,-0.2168,-243.803,-570.512,-0.1104,-0.2102,-0.1141,357.668
dsgdb9nsd_000011,3,28.543,-3.5878,-0.002,1.152,33.2123,0.0032,0.0007,0.008,27.7187
dsgdb9nsd_000011,4,29.0037,1.775,-1.4893,-0.2322,28.954,-0.2294,-2.599,-1.6474,30.9785
dsgdb9nsd_000011,5,29.0021,1.7666,1.4946,-0.2313,28.9452,0.2266,2.6022,1.6381,30.9782
dsgdb9nsd_000011,6,22.3306,-0.3791,-0.0005,-4.5186,21.8153,0.0004,-0.0018,-0.0002,20.25
dsgdb9nsd_000012,0,180.743,101.043,0.0025,62.7778,133.609,-0.0008,0.0077,-0.0096,171.441
dsgdb9nsd_000012,1,52.7684,-51.0676,-0.0008,-40.28,-32.4448,0.0098,-0.0025,0.0054,103.985
dsgdb9nsd_000012,2,-321.233,55.0985,0.0026,8.3577,-181.512,0.0155,0.0068,0.0074,325.478
dsgdb9nsd_000012,3,25.1175,7.0168,-0.0017,1.0552,32.5486,-0.0012,-0.0009,-0.0025,24.6582
dsgdb9nsd_000012,4,32.1642,-1.8355,-0.0012,-1.6205,25.7813,-0.0001,-0.0024,0.0013,24.0875
dsgdb9nsd_000012,5,23.6243,-2.6414,0.0004,3.5377,26.3042,-0.0002,0.0003,-0.0007,20.319
dsgdb9nsd_000013,0,186.705,-5.2098,-0.0003,-12.0661,171.101,0.0015,-0.0019,-0.0021,161.851
dsgdb9nsd_000013,1,175.565,0,-0.0015,0,171.447,0,0.0019,0,163.437
dsgdb9nsd_000013,2,186.705,5.2098,-0.0003,12.0661,171.101,-0.0014,-0.002,0.0022,161.851
dsgdb9nsd_000013,3,29.9846,-2.4349,1.9984,-1.5787,30.6383,-4.0067,1.5029,-3.3895,31.9587
dsgdb9nsd_000013,4,29.9847,-2.4344,-1.9967,-1.578,30.6416,4.0078,-1.5013,3.3906,31.9557
dsgdb9nsd_000013,5,36.257,3.0997,-0.002,1.7682,28.8304,-0.0009,-0.0019,-0.0013,26.6235
dsgdb9nsd_000013,6,29.2321,-0.0004,0,-0.0002,31.6772,5.1373,0.0001,4.8032,29.8314
dsgdb9nsd_000013,7,29.2321,0.0004,0,0.0002,31.6772,-5.1374,0.0001,-4.8032,29.8314
dsgdb9nsd_000013,8,29.9847,2.4344,-1.9967,1.578,30.6416,-4.0077,-1.5013,-3.3906,31.9557
dsgdb9nsd_000013,9,36.257,-3.0997,-0.002,-1.7682,28.8304,0.0009,-0.0019,0.0013,26.6235
dsgdb9nsd_000013,10,29.9846,2.4349,1.9984,1.5787,30.6384,4.0067,1.5029,3.3895,31.9587
dsgdb9nsd_000014,0,186.451,2.5352,0.0003,9.2938,173.907,0,0.0003,-0.0004,158.179
dsgdb9nsd_000014,1,147.866,-30.0195,-0.0022,-26.1256,136.222,-0.0017,-0.0041,-0.0009,106.073
dsgdb9nsd_000014,2,360.316,23.0829,0.0087,46.9892,278.046,0.0075,0.0085,0.0129,269.363
dsgdb9nsd_000014,3,29.1961,2.0947,1.814,1.3002,29.9431,3.8339,1.2583,3.0627,32.1903
dsgdb9nsd_000014,4,29.1961,2.0949,-1.8148,1.3005,29.9419,-3.8335,-1.2591,-3.0623,32.1915
dsgdb9nsd_000014,5,35.1914,-3.3426,0.0009,-2.9764,29.6654,-0.0006,0.0007,-0.0007,27.6076
dsgdb9nsd_000014,6,27.6487,-1.5739,0.8803,-0.878,29.4266,-4.5208,-1.1521,-3.5008,26.181
dsgdb9nsd_000014,7,27.6487,-1.5739,-0.8804,-0.878,29.4268,4.5203,1.1521,3.5006,26.1809
dsgdb9nsd_000014,8,42.9055,5.7047,0.0034,3.69,30.5132,0.0019,0.0032,0.0017,22.7132
dsgdb9nsd_000017,0,103.792,-2.2002,0.0002,-13.3052,164.904,0,-0.0004,0.0001,182.819
dsgdb9nsd_000017,1,103.792,2.2004,-0.0001,13.3052,164.904,-0.0003,0.0003,0,182.819
dsgdb9nsd_000017,2,412.677,0,0,0.0001,184.021,-0.0006,0,-0.0015,422.365
dsgdb9nsd_000017,3,28.2045,-3.4365,1.2225,-2.6093,26.4817,-2.3716,6.8165,-2.6618,33.2588
dsgdb9nsd_000017,4,28.2045,-3.4365,-1.2225,-2.6094,26.4817,2.3715,-6.8165,2.6617,33.2587
dsgdb9nsd_000017,5,28.2045,3.4365,1.2225,2.6093,26.4817,2.3715,6.8165,2.6617,33.2587
dsgdb9nsd_000017,6,28.2045,3.4365,-1.2225,2.6094,26.4817,-2.3716,-6.8165,-2.6618,33.2588
dsgdb9nsd_000018,0,192.087,-5.4218,-0.0102,-19.7756,149.068,0.0047,-0.0085,-0.007,143.57
dsgdb9nsd_000018,1,-82.5519,0.0002,0.0059,0.0002,-33.2675,-0.0005,0.0083,-0.0008,104.626
dsgdb9nsd_000018,2,192.086,5.4221,-0.0095,19.7762,149.068,-0.0042,-0.0083,0.0063,143.57
dsgdb9nsd_000018,3,-371.062,0.0028,0.0145,0.0032,-849.621,-0.007,0.0148,-0.0023,319.714
dsgdb9nsd_000018,4,29.7994,-1.0674,-1.3741,0.8266,28.948,1.9224,-0.712,2.9979,30.0519
dsgdb9nsd_000018,5,33.32,4.536,-0.0029,-0.1341,29.2743,-0.0003,-0.0029,-0.0016,27.2617
dsgdb9nsd_000018,6,29.7984,-1.0666,1.3757,0.8252,28.9452,-1.921,0.7139,-2.9971,30.057
dsgdb9nsd_000018,7,29.7994,1.0673,-1.374,-0.8266,28.9478,-1.9222,-0.7121,-2.9979,30.0523
dsgdb9nsd_000018,8,33.32,-4.5359,-0.0027,0.1341,29.2742,0.0002,-0.0026,0.0015,27.2617
dsgdb9nsd_000018,9,29.7984,1.0666,1.3756,-0.8253,28.9454,1.9212,0.7137,2.9971,30.0567
dsgdb9nsd_000019,0,195.215,-0.6204,-5.7265,-7.3178,165.122,-0.0874,-2.6852,-2.5693,146.281
dsgdb9nsd_000019,1,-47.9198,-21.3344,0.9636,-32.7509,39.8344,0.4695,1.164,-0.5263,101.445
dsgdb9nsd_000019,2,190.956,57.5163,-2.3672,102.289,136.782,-1.5988,-9.1786,2.0552,165.603
dsgdb9nsd_000019,3,-169.2,-25.5752,1.9535,14.2727,-352.276,-6.7634,-3.0881,7.6882,316.502
dsgdb9nsd_000019,4,30.6039,-2.0812,-1.9767,-0.2029,31.1174,2.9245,-1.128,2.7088,28.4214
dsgdb9nsd_000019,5,31.9669,4.4448,-1.8092,0.8424,30.9157,-1.0821,-1.4203,-1.3619,27.4971
dsgdb9nsd_000019,6,30.0147,-0.662,2.8332,-0.3187,27.9866,-1.7365,2.1223,-1.6019,31.5332
dsgdb9nsd_000019,7,26.99,2.1769,-0.3336,1.0156,31.8903,-0.4778,0.1257,-0.8049,22.8515
dsgdb9nsd_000019,8,35.0489,-2.147,-0.8089,4.0701,23.3471,-0.5066,-1.4761,-0.078,24.6132
dsgdb9nsd_000021,0,156.98,-0.2834,-0.0631,-0.2743,188.489,4.9004,-0.1015,10.6283,152.384
dsgdb9nsd_000021,1,164.134,-0.0076,0.0051,0.0001,164.131,-0.0242,-0.0102,-0.0142,158.95
dsgdb9nsd_000021,2,180.877,-13.4798,4.2678,-13.4753,164.648,-2.4133,9.2533,-5.2477,152.343
dsgdb9nsd_000021,3,180.343,13.8067,-4.2382,13.7777,165.137,-2.4784,-9.175,-5.3806,152.389
dsgdb9nsd_000021,4,28.2924,-0.0233,-0.0425,-0.025,30.7864,3.3487,-0.034,2.3783,33.971
dsgdb9nsd_000021,5,30.941,3.0863,-1.7331,4.3745,33.7035,-1.6401,-1.1048,-1.0013,27.3299
dsgdb9nsd_000021,6,31.0606,-3.1355,1.7742,-4.4195,33.5672,-1.6248,1.1354,-0.994,27.3428
dsgdb9nsd_000021,7,27.2778,-0.0024,0.0013,-0.0026,27.2698,-0.0026,0.0003,0.0003,34.9161
dsgdb9nsd_000021,8,30.1829,-1.0686,2.92,-1.0697,28.8927,-1.6444,2.0765,-1.166,33.9673
dsgdb9nsd_000021,9,29.7823,-3.7076,-0.5551,-2.4211,34.8603,2.3266,-0.3152,1.4582,27.3313
dsgdb9nsd_000021,10,36.2124,1.4508,-2.2898,0.1662,28.42,-0.7254,-1.4237,-0.4854,27.3403
dsgdb9nsd_000021,11,36.2378,-1.3032,2.3014,-0.0211,28.3934,-0.6823,1.4311,-0.4579,27.3373
dsgdb9nsd_000021,12,29.6684,3.6132,0.5136,2.3256,34.971,2.336,0.2886,1.4677,27.3342
dsgdb9nsd_000021,13,30.1424,1.091,-2.8888,1.094,28.9345,-1.6964,-2.0528,-1.203,33.9713
dsgdb9nsd_000023,0,47.6181,0,0,0,47.6181,0,0,0,286.802
dsgdb9nsd_000023,1,47.6181,0,0,0,47.6181,0,0,0,286.802
dsgdb9nsd_000023,2,57.2217,0,0,0,57.2217,0,0,0,280.22
dsgdb9nsd_000023,3,57.2217,0,0,0,57.2217,0,0,0,280.22
dsgdb9nsd_000023,4,25.3116,0,0,0,25.3116,0,0,0,41.2974
dsgdb9nsd_000023,5,25.3116,0,0,0,25.3116,0,0,0,41.2974
dsgdb9nsd_000026,0,-777.406,-234.434,0.0272,-298.292,-681.376,-0.0131,0.0279,-0.0083,405.678
dsgdb9nsd_000026,1,-20.5251,51.8566,0.0036,40.2482,-18.274,-0.0044,0.0041,-0.0035,109.501
dsgdb9nsd_000026,2,276.514,-54.0403,0.005,-51.0796,43.8069,-0.0006,0.0035,-0.0005,27.1594
dsgdb9nsd_000026,3,202.527,-13.6294,0.0021,-28.8617,64.4448,-0.0005,0.0016,-0.0007,67.5199
dsgdb9nsd_000026,4,23.6858,-0.1225,0,-3.4901,22.7253,0.0001,0,0.0001,19.877
dsgdb9nsd_000026,5,34.6623,-1.539,0.0001,-1.8179,26.1225,0,0.0001,0,25.2672
dsgdb9nsd_000027,0,-816.444,-261.865,0.0328,-299.999,-712.779,-0.0084,0.0408,0.0002,410.394
dsgdb9nsd_000027,1,-23.833,67.5664,0.0027,48.1607,9.2267,-0.0051,0.0054,-0.0035,106.877
dsgdb9nsd_000027,2,271.748,-63.4698,0.0052,-61.9922,0.8741,-0.0005,0.0002,-0.0001,-19.8673
dsgdb9nsd_000027,3,239.718,-54.6379,0.0018,-87.0939,-155.731,-0.0004,0.0082,-0.0035,-138.256
dsgdb9nsd_000027,4,23.5854,0.7915,0.0003,-2.8666,23.3145,0.0001,0,0.0002,20.5701
dsgdb9nsd_000028,0,-887.606,-168.169,1.1212,-166.099,-514.564,-0.1564,1.3041,0.0592,383.513
dsgdb9nsd_000028,1,-5.7935,49.8134,0.0953,33.9883,-54.5962,-0.0898,0.1001,-0.0518,86.6234
dsgdb9nsd_000028,2,-5.7933,49.8133,-0.0964,33.9884,-54.5961,0.0887,-0.0995,0.0509,86.6232
dsgdb9nsd_000028,3,-887.606,-168.169,-1.1163,-166.098,-514.563,0.1561,-1.2941,-0.057,383.513
dsgdb9nsd_000028,4,22.9429,1.2875,0.0005,-1.5268,21.1217,-0.0038,0.003,0.0004,22.4856
dsgdb9nsd_000028,5,22.9429,1.2874,-0.0005,-1.5268,21.1217,0.0036,-0.003,-0.0004,22.4856
dsgdb9nsd_000029,0,178.453,-0.3545,1.3594,-0.3546,179.746,-5.3048,1.3595,-5.3051,198.7
dsgdb9nsd_000029,1,45.584,-3.7185,14.2561,-3.7185,59.14,-55.6335,14.2562,-55.6334,257.906
dsgdb9nsd_000029,2,45.5827,-3.7191,14.2562,-3.719,59.1427,-55.632,14.2564,-55.633,257.908
dsgdb9nsd_000029,3,178.456,-0.3548,1.3597,-0.3545,179.746,-5.305,1.3595,-5.3051,198.701
dsgdb9nsd_000029,4,25.943,1.7914,1.6628,1.5513,30.5373,2.6021,2.1014,4.4821,33.5791
dsgdb9nsd_000029,5,31.8766,2.5764,-2.4357,3.082,26.8698,-2.3838,-4.2406,-2.9046,31.3131
dsgdb9nsd_000029,6,29.5857,-4.4989,1.2754,-4.7644,30.4761,-2.1794,2.6417,-3.5386,29.9976
dsgdb9nsd_000029,7,28.8456,-2.9439,-2.8737,-2.6776,27.7227,1.258,-4.2421,2.6149,33.491
dsgdb9nsd_000029,8,32.8848,1.2582,3.3585,0.7526,25.7388,-0.7406,5.1624,-0.2166,31.4359
dsgdb9nsd_000029,9,25.6748,1.5546,0.0178,1.794,34.4215,-2.4785,-0.4177,-4.3594,29.9629
dsgdb9nsd_000030,0,184.133,7.5198,-0.0004,11.0398,177.27,0.0004,0,0.0005,162.989
dsgdb9nsd_000030,1,186.313,-0.8789,0.0007,-0.8832,175.688,0.0014,0.0004,0.002,163.176
dsgdb9nsd_000030,2,261.269,-85.0475,0.006,-88.9297,59.77,-0.0024,0.0178,-0.007,20.1621
dsgdb9nsd_000030,3,234.375,-65.3159,0.0089,-54.9966,83.2097,-0.0025,-0.005,0.002,63.5385
dsgdb9nsd_000030,4,28.8353,2.2311,0.9224,1.0047,31.1598,4.3485,0.3035,3.6917,31.6952
dsgdb9nsd_000030,5,28.8352,2.2311,-0.9222,1.0046,31.1602,-4.3485,-0.3033,-3.6917,31.6948
dsgdb9nsd_000030,6,37.2109,-1.047,-0.0002,-0.2342,28.2756,0,-0.0002,0.0001,26.7874
dsgdb9nsd_000030,7,29.0545,-1.0959,1.5662,-0.6974,30.4162,-5.5116,0.5781,-4.7873,29.0262
dsgdb9nsd_000030,8,29.0539,-1.0953,-1.566,-0.6971,30.4153,5.5118,-0.578,4.7873,29.0264
dsgdb9nsd_000030,9,38.6501,-4.6886,0.0006,-3.985,26.8978,-0.0002,-0.0005,0.0002,25.4459
dsgdb9nsd_000031,0,185.466,7.0352,0.005,8.9314,179.433,0.0029,0.0091,0.0067,167.985
dsgdb9nsd_000031,1,188.277,-0.4866,0.0268,-0.4757,178.64,0.0178,0.025,0.0263,164.729
dsgdb9nsd_000031,2,245.538,-109.062,0.1035,-112.163,22.3164,-0.0449,0.228,-0.096,-29.4545
dsgdb9nsd_000031,3,242.336,-165.378,0.2543,-147.4,-89.0865,-0.0594,0.0413,0.0129,-149.417
dsgdb9nsd_000031,4,28.5569,2.363,0.9879,1.012,31.1168,4.4599,0.2036,3.8891,31.7653
dsgdb9nsd_000031,5,28.556,2.3615,-0.9866,1.0111,31.1201,-4.4605,-0.2026,-3.8883,31.761
dsgdb9nsd_000031,6,37.0594,-1.3862,-0.0015,-0.8038,28.4297,-0.0001,0.0001,-0.0001,26.7553
dsgdb9nsd_000031,7,28.7029,-0.6498,1.1816,-0.1033,30.6655,-5.5275,0.057,-4.5151,29.417
dsgdb9nsd_000031,8,28.6962,-0.6424,-1.1787,-0.1019,30.6593,5.53,-0.058,4.5146,29.4159
dsgdb9nsd_000032,0,257.538,5.9646,-13.4624,0.8958,246.436,-15.643,-14.7752,-15.0488,217.62
dsgdb9nsd_000032,1,167.793,-16.3574,2.0504,-16.1369,163.227,5.7732,2.2297,5.9188,141.041
dsgdb9nsd_000032,2,254.72,100.053,5.4844,99.818,13.5878,2.2206,1.3529,-0.058,-26.2886
dsgdb9nsd_000032,3,249.295,146.872,7.4188,127.242,-100.213,-2.3951,18.3908,1.476,-156.376
dsgdb9nsd_000032,4,40.7521,3.204,-1.4757,1.3387,29.178,-1.1572,-1.1668,-1.5778,25.0007
dsgdb9nsd_000032,5,29.4763,-2.9833,-0.1614,-0.3228,33.1699,-7.7181,-0.7983,-6.5821,32.0144
dsgdb9nsd_000032,6,27.3027,-1.1719,0.5565,-0.9026,28.6961,6.0661,0.1908,4.3795,27.9146
dsgdb9nsd_000032,7,27.6298,-0.3565,-0.3533,-0.623,30.3688,-4.6044,-0.2928,-3.2951,27.053
dsgdb9nsd_000033,0,379.698,12.1146,-0.0153,36.9874,282.615,-0.0095,-0.0158,-0.0148,273.555
dsgdb9nsd_000033,1,143.963,-30.6031,0.0028,-27.5895,152.592,0.0016,0.0044,0.0017,115.287
dsgdb9nsd_000033,2,272.691,71.8733,0.0023,72.1054,50.4338,0.001,0.0002,0.0002,27.6438
dsgdb9nsd_000033,3,231.001,50.5399,0.0018,40.2345,75.6642,-0.0009,0.0045,0.0002,56.8167
dsgdb9nsd_000033,4,44.5848,3.1869,-0.0061,1.6961,29.4663,-0.002,-0.0055,-0.0015,23.0035
dsgdb9nsd_000033,5,27.0838,-0.7613,0.4203,-0.5573,28.5258,5.1361,1.0344,3.4279,25.8026
dsgdb9nsd_000033,6,27.084,-0.7613,-0.42,-0.5575,28.5257,-5.1358,-1.0343,-3.4279,25.8026
dsgdb9nsd_000033,7,37.8938,3.6467,0,2.7937,26.1942,0,0.0003,0.0001,25.505
dsgdb9nsd_000034,0,380.211,17.2298,-0.0495,47.46,294.693,-0.039,-0.0577,-0.0535,284.384
dsgdb9nsd_000034,1,147.853,-31.6603,0.0092,-29.8859,151.766,0.0062,0.0133,0.0077,119.424
dsgdb9nsd_000034,2,262.546,91.3044,0.0082,87.3787,7.0698,0.002,0.0053,0.001,-22.9639
dsgdb9nsd_000034,3,251.792,130.608,0.0136,114.311,-110.839,-0.0083,0.0284,-0.0013,-166.714
dsgdb9nsd_000034,4,44.3793,3.3849,-0.0202,2.4518,29.3253,-0.0073,-0.0186,-0.0054,22.909
dsgdb9nsd_000034,5,26.8189,-1.0932,0.0239,-1.0675,28.6943,4.9557,0.4136,3.0966,26.2283
dsgdb9nsd_000034,6,26.8196,-1.0931,-0.023,-1.068,28.6944,-4.9544,-0.4134,-3.0963,26.228
dsgdb9nsd_000037,0,177.468,-26.2358,-0.0002,-26.2975,120.88,0.0018,-0.0039,0.0007,115.579
dsgdb9nsd_000037,1,11.6245,166.594,-0.0062,125.455,194.073,-0.0017,-0.0163,0.0068,249.455
dsgdb9nsd_000037,2,86.899,-48.2298,0.0036,-34.7132,-37.9125,-0.0008,0.0035,0.0017,60.66
dsgdb9nsd_000037,3,-327.122,-23.2735,-0.0049,-55.5661,-187.55,0.0068,0.0033,0.0144,274.76
dsgdb9nsd_000037,4,30.855,0.2009,-3.7228,-1.0512,25.1025,-0.1533,-2.963,-1.5177,28.2576
dsgdb9nsd_000037,5,28.0832,-3.2205,0.0006,-1.0279,29.6804,-0.0013,0.0004,-0.0013,26.0385
dsgdb9nsd_000037,6,30.8562,0.2033,3.7218,-1.0499,25.1035,0.1552,2.9623,1.5193,28.2549
dsgdb9nsd_000037,7,24.3848,-2.7808,-0.0002,2.0444,25.5174,0.0001,-0.0001,-0.0002,21.1923
dsgdb9nsd_000038,0,299.279,4.2021,2.255,4.9928,315.819,7.9787,3.7076,18.0376,334.283
dsgdb9nsd_000038,1,143.414,6.205,6.0266,9.0294,117.463,-3.4522,4.9833,-2.4593,101.543
dsgdb9nsd_000038,2,-16.6619,1.8811,17.8373,10.8457,-72.3365,44.3749,4.7063,39.575,67.9525
dsgdb9nsd_000038,3,-832.904,-153.62,208.651,-81.3181,-374.188,224.538,200.786,225.429,284.158
dsgdb9nsd_000038,4,27.0018,3.5588,1.5078,2.6518,28.1546,6.8483,3.5154,6.9611,38.8933
dsgdb9nsd_000038,5,28.9065,2.9184,-0.5108,3.2017,28.1193,-2.2505,-0.0441,-2.1698,25.9799
dsgdb9nsd_000038,6,27.978,3.2121,1.2497,1.797,27.791,2.5622,-0.0924,2.7055,27.23
dsgdb9nsd_000038,7,20.7318,-1.0596,0.4794,-3.637,21.1343,0.1993,1.4248,-0.4528,21.8982
dsgdb9nsd_000039,0,189.208,-3.0072,-0.0012,-8.9018,170.533,0.0184,0.0006,0.0043,163.432
dsgdb9nsd_000039,1,175.271,1.5875,-0.0065,8.8298,162.472,0.0057,-0.0113,0.0215,148.82
dsgdb9nsd_000039,2,175.271,1.5875,-0.0065,8.8299,162.472,0.0064,-0.0121,0.022,148.819
dsgdb9nsd_000039,3,189.208,-3.0071,-0.0012,-8.9017,170.533,0.0179,0.0005,0.0043,163.433
dsgdb9nsd_000039,4,30.8958,-2.4772,2.702,-1.7549,29.8512,-3.7348,2.0656,-3.205,31.7492
dsgdb9nsd_000039,5,30.8959,-2.4775,-2.6939,-1.7534,29.8692,3.7425,-2.0586,3.2126,31.7351
dsgdb9nsd_000039,6,35.5321,4.1295,-0.0089,2.8261,29.7259,-0.0062,-0.0074,-0.0068,26.5242
dsgdb9nsd_000039,7,30.3817,-0.051,-0.2346,-0.394,30.8232,4.5373,0.1225,4.1637,29.8975
dsgdb9nsd_000039,8,30.383,-0.0486,0.2344,-0.3915,30.8239,-4.5388,-0.1223,-4.1647,29.8934
dsgdb9nsd_000039,9,30.3817,-0.0509,-0.2346,-0.3939,30.8231,4.5374,0.1224,4.1637,29.8975
dsgdb9nsd_000039,10,30.3831,-0.0487,0.2344,-0.3915,30.8239,-4.5387,-0.1223,-4.1647,29.8933
dsgdb9nsd_000039,11,30.8959,-2.4774,-2.6941,-1.7534,29.8688,3.7423,-2.0587,3.2125,31.7354
dsgdb9nsd_000039,12,30.8958,-2.4773,2.7018,-1.7549,29.8515,-3.735,2.0655,-3.2051,31.7488
dsgdb9nsd_000039,13,35.5321,4.1295,-0.0086,2.8261,29.7259,-0.006,-0.0071,-0.0066,26.5242
dsgdb9nsd_000040,0,188.909,-4.0135,0.0009,-9.2949,176.399,-0.0011,0.0008,-0.0009,171.702
dsgdb9nsd_000040,1,175.459,-1.2431,-0.0011,5.9681,166.668,-0.0044,0.0022,-0.0041,147.386
dsgdb9nsd_000040,2,158.863,-24.0825,-0.0091,-12.8757,115.997,-0.008,-0.0126,-0.0085,96.6789
dsgdb9nsd_000040,3,343.17,33.9486,0.0296,62.9668,297.942,0.0358,0.0212,0.0468,268.866
dsgdb9nsd_000040,4,35.3525,4.0406,-0.0003,2.7718,29.8277,-0.0003,-0.0002,-0.0004,26.7553
dsgdb9nsd_000040,5,30.5727,-2.3517,-2.6161,-2.0878,30.1439,4.1573,-1.8679,3.5712,32.1324
dsgdb9nsd_000040,6,30.5723,-2.3509,2.6166,-2.0871,30.1418,-4.1569,1.8682,-3.571,32.1342
dsgdb9nsd_000040,7,29.5796,-0.4189,0.5553,-0.7654,30.2541,-4.3972,0.2458,-3.7795,30.2842
dsgdb9nsd_000040,8,29.5803,-0.4193,-0.5551,-0.7654,30.2555,4.3969,-0.2455,3.7791,30.2821
dsgdb9nsd_000040,9,29.2716,-1.5182,1.1611,-1.178,28.0887,-3.6767,-1.2704,-3.1582,26.3639
dsgdb9nsd_000040,10,29.272,-1.5177,-1.1617,-1.178,28.089,3.6756,1.2701,3.1581,26.3639
