molecule_name,X,Y,Z
dsgdb9nsd_000124,-0.7111,1.1619,0.0017
dsgdb9nsd_000125,3.9902,2.1751,0.0012
dsgdb9nsd_000126,-0.5504,-1.2755,0.0002
dsgdb9nsd_000127,3.7073,-0.251,0.0015
dsgdb9nsd_000129,2.4648,2.7497,-0.0958
dsgdb9nsd_000130,3.5893,0.9922,1.5732
dsgdb9nsd_000131,2.7576,-0.461,0.0022
dsgdb9nsd_000132,1.3765,-0.2889,0.2158
dsgdb9nsd_000133,0,-0.0603,0
dsgdb9nsd_000134,0.1418,1.3742,0.0002
dsgdb9nsd_000135,0.0555,-0.9739,0.0005
dsgdb9nsd_000136,0,-0.9301,-0.0001
dsgdb9nsd_000137,1.9758,0.9682,0.083
dsgdb9nsd_000138,0,2.7191,0.0015
dsgdb9nsd_000139,0.8631,0.0008,0.0244
dsgdb9nsd_000140,-0.5868,-0.8808,-0.7134
dsgdb9nsd_000141,0.3244,1.3866,0.9309
dsgdb9nsd_000142,4.1057,-0.0003,0.8691
dsgdb9nsd_000144,-3.0194,1.1154,1.728
dsgdb9nsd_000145,3.1202,-0.0001,0.4096
dsgdb9nsd_000149,0.0595,-0.0372,0.0639
dsgdb9nsd_000150,-0.31,-1.634,0.5341
dsgdb9nsd_000151,0.1251,-0.0659,1.0522
dsgdb9nsd_000152,0.0749,0.9247,0.5734
dsgdb9nsd_000155,1.2448,-1.2722,-0.0898
dsgdb9nsd_000157,-1.2647,-1.0281,0
dsgdb9nsd_000158,0,-1.5715,0.0001
dsgdb9nsd_000159,0,-0.0004,0.0009
dsgdb9nsd_000161,-1.1177,0.2708,0.7034
dsgdb9nsd_000162,-0.0062,-0.0001,-0.2526
dsgdb9nsd_000164,1.2146,0.0001,-1.3978
dsgdb9nsd_000165,1.5728,1.5776,0.0001
dsgdb9nsd_000166,1.9926,3.8052,0.0005
dsgdb9nsd_000168,0.0001,5.498,0.0001
dsgdb9nsd_000169,-0.0597,0,0.0002
dsgdb9nsd_000170,-0.9738,2.6923,0.0001
dsgdb9nsd_000171,-3.0308,1.6294,0
dsgdb9nsd_000172,0.8388,0.7512,-0.0001
dsgdb9nsd_000173,0,3.1035,0.0001
dsgdb9nsd_000174,2.7735,-0.8176,0.0002
dsgdb9nsd_000179,1.8681,0.7073,0
dsgdb9nsd_000183,-1.1273,-0.2541,0.0001
dsgdb9nsd_000188,-4.0302,2.3267,-0.0003
dsgdb9nsd_000189,-4.4195,0,-0.0001
dsgdb9nsd_000190,-0.9415,-1.6689,0.0002
dsgdb9nsd_000191,0.2556,0.4553,0.0001
dsgdb9nsd_000192,1.9498,-0.6759,0
dsgdb9nsd_000193,-0.0061,-1.3368,-0.0001
dsgdb9nsd_000195,-1.008,0.4478,1.1276
dsgdb9nsd_000197,-0.8587,-1.31,1.0012
dsgdb9nsd_000198,-0.9118,-0.4064,0.0046
dsgdb9nsd_000199,-2.4206,-1.6652,0.002
dsgdb9nsd_000200,-0.1762,2.1728,0.0004
dsgdb9nsd_000201,1.3419,-1.0402,0.0004
dsgdb9nsd_000202,-2.06,2.5969,0
dsgdb9nsd_000205,-0.871,-1.0531,1.1783
dsgdb9nsd_000209,1.6307,0.4084,0.0007
dsgdb9nsd_000214,0,0,0
dsgdb9nsd_000215,0,-2.1103,0
dsgdb9nsd_000217,2.2031,0,0
dsgdb9nsd_000218,0,0,0
dsgdb9nsd_000221,2.8375,0,0.2861
dsgdb9nsd_000224,2.4943,-0.6157,-0.0001
dsgdb9nsd_000227,0.187,-0.0059,-0.0668
dsgdb9nsd_000228,0.0317,0.0266,0
dsgdb9nsd_000229,1.0322,0.5145,-0.689
dsgdb9nsd_000230,0.0511,0,1.0884
dsgdb9nsd_000231,2.5373,2.5033,-0.0001
dsgdb9nsd_000232,-1.9771,3.5613,-0.146
dsgdb9nsd_000234,1.3876,0.9654,-0.8454
dsgdb9nsd_000236,4.2454,-3.7719,0.0005
dsgdb9nsd_000237,1.7034,-3.3158,-0.5844
dsgdb9nsd_000238,-4.9405,-4.5425,0.0701
dsgdb9nsd_000239,0.7408,-0.5293,0.0017
dsgdb9nsd_000240,-4.0571,0.0413,0.5573
dsgdb9nsd_000244,0.9055,0.1227,0
dsgdb9nsd_000249,-1.8534,-0.7207,0.1461
dsgdb9nsd_000250,0.6714,-0.1228,-0.0167
dsgdb9nsd_000254,-3.7722,-0.9791,1.2157
dsgdb9nsd_000256,-2.6154,-0.0033,2.5608
dsgdb9nsd_000258,-2.9391,-0.4516,1.4777
dsgdb9nsd_000259,2.7076,-0.3007,-0.2164
dsgdb9nsd_000260,0.2579,-1.2335,0.0018
dsgdb9nsd_000261,-0.3168,-2.5226,0
dsgdb9nsd_000262,-0.3435,-3.3927,0.0519
dsgdb9nsd_000265,0.9739,-1.6745,0.0001
dsgdb9nsd_000269,-0.0259,-4.2902,-0.1294
dsgdb9nsd_000270,0.4891,-2.0969,-0.0421
dsgdb9nsd_000271,14.8121,-1.367,-0.4129
dsgdb9nsd_000274,0.0135,0.0323,-0.0827
dsgdb9nsd_000281,-0.5991,0.9994,0.0018
dsgdb9nsd_000285,-0.3193,0.2795,-3.4137
dsgdb9nsd_000287,1.2703,2.6031,0.4445
dsgdb9nsd_000288,-1.7282,3.6352,-0.8292
dsgdb9nsd_000289,1.7284,3.0819,0.0001
dsgdb9nsd_000290,1.6245,3.1186,1.0471
dsgdb9nsd_000294,0.0168,0.018,0
dsgdb9nsd_000295,-0.1002,0,1.6329
dsgdb9nsd_000298,2.2274,0.8058,0.7546
dsgdb9nsd_000299,-0.2681,-1.0442,0.6886
dsgdb9nsd_000300,-0.1375,-0.6074,1.8697
dsgdb9nsd_000304,-0.0827,0.9696,0.6155
dsgdb9nsd_000306,2.8898,0,0.2394
dsgdb9nsd_000308,3.5792,2.0581,0.509
dsgdb9nsd_000312,0,1.4395,0.5982
dsgdb9nsd_000313,-0.1073,1.0236,0.9461
dsgdb9nsd_000316,-0.2077,-0.0001,-0.0002
dsgdb9nsd_000319,0.4404,-1.2539,0.0001
dsgdb9nsd_000320,-1.2221,-1.2684,0
dsgdb9nsd_000326,0,-3.4458,0.0014
dsgdb9nsd_000328,-2.7404,2.4275,0.8034
dsgdb9nsd_000329,0,3.8506,1.4855
dsgdb9nsd_000330,-1.8232,1.7037,0.2596
dsgdb9nsd_000331,1.1076,3.2986,0.9906
dsgdb9nsd_000332,0.0001,-1.0837,-0.7709
dsgdb9nsd_000337,1.0885,-1.5167,1.0993
dsgdb9nsd_000338,-2.1379,-0.6052,1.9858
dsgdb9nsd_000340,1.8343,-1.5733,-0.0022
dsgdb9nsd_000341,-0.0147,-0.6158,-0.0001
dsgdb9nsd_000343,-3.4914,3.6626,-0.6422
dsgdb9nsd_000346,3.1146,-1.6321,0.0004
dsgdb9nsd_000349,-0.1288,-1.7508,0
dsgdb9nsd_000352,2.8738,-2.9518,-0.0005
dsgdb9nsd_000353,0.7885,-0.6783,0.0002
dsgdb9nsd_000354,-2.0663,-3.0996,0.2858
dsgdb9nsd_000355,-3.4248,-4.0195,-0.0004
dsgdb9nsd_000356,-3.0313,-2.2491,0
dsgdb9nsd_000358,0,-2.5012,0
dsgdb9nsd_000360,-0.8638,-3.3118,0.121
dsgdb9nsd_000361,-0.4381,-1.5724,-0.0001
dsgdb9nsd_000363,-0.0001,-3.5856,0.0005
dsgdb9nsd_000364,0.5006,-2.2414,-0.0014
dsgdb9nsd_000366,2.6433,-0.9653,0.0006
dsgdb9nsd_000367,0,-5.1139,0
dsgdb9nsd_000368,0.437,0.7608,0.0141
dsgdb9nsd_000369,0.5321,-0.9186,0.7782
dsgdb9nsd_000370,3.7204,0.1511,0.3186
dsgdb9nsd_000371,0.6919,0.1503,0.0359
dsgdb9nsd_000374,-0.1905,-0.9909,-0.8657
dsgdb9nsd_000375,3.3157,-0.0319,-0.4517
dsgdb9nsd_000376,3.8797,2.0913,0.0066
dsgdb9nsd_000377,0.7035,0.8669,0.8613
dsgdb9nsd_000378,1.7612,2.3381,1.3243
dsgdb9nsd_000379,4.3918,-0.7673,1.0245
dsgdb9nsd_000380,4.7869,-0.9019,-0.1644
dsgdb9nsd_000382,-1.8148,0.1245,-1.1888
dsgdb9nsd_000385,-2.4385,0.9918,0.8357
dsgdb9nsd_000387,-3.7182,0.3822,0.81
dsgdb9nsd_000388,2.65,0.4269,0.743
dsgdb9nsd_000389,-0.5077,-1.1275,0.3588
dsgdb9nsd_000392,0.2105,-1.0224,0.8532
dsgdb9nsd_000393,-0.446,0.4386,0.8279
dsgdb9nsd_000394,-0.0002,-1.0818,-0.9407
dsgdb9nsd_000395,-1.8863,-0.3543,1.3581
dsgdb9nsd_000396,1.9978,0.551,0.8595
dsgdb9nsd_000397,0.0001,0.3079,1.7445
dsgdb9nsd_000398,-0.7652,0.0176,0
dsgdb9nsd_000399,-4.1202,0.4287,-0.0004
dsgdb9nsd_000400,1.1151,1.2637,-0.9084
dsgdb9nsd_000401,4.5359,1.6696,-0.9139
dsgdb9nsd_000402,-0.155,0.705,-1.5951
dsgdb9nsd_000403,3.3029,1.0447,-1.6518
dsgdb9nsd_000405,0.1743,-0.4563,1.0995
dsgdb9nsd_000406,-3.353,0.053,1.1722
dsgdb9nsd_000410,-1.8411,-1.5003,0.0004
dsgdb9nsd_000411,0.4405,-0.4752,-1.1507
dsgdb9nsd_000414,-0.0876,0.0607,-0.0435
dsgdb9nsd_000417,-0.0095,0.4308,1.0164
dsgdb9nsd_000419,-0.7117,-2.5527,0.376
dsgdb9nsd_000420,1.6796,3.1417,-0.1456
dsgdb9nsd_000424,-0.7406,0.6246,-0.0569
dsgdb9nsd_000427,2.7729,0.7885,0.3731
dsgdb9nsd_000431,2.6514,0.5589,1.3164
dsgdb9nsd_000433,0.4081,-1.2212,0.2296
dsgdb9nsd_000434,-0.93,1.3056,0.7439
dsgdb9nsd_000436,-0.6193,0.5887,0.5608
dsgdb9nsd_000438,2.5958,0,0.0004
dsgdb9nsd_000439,3.1033,-0.9518,0
dsgdb9nsd_000441,1.6012,0.3245,0
dsgdb9nsd_000443,-3.5709,0.0026,0.0001
dsgdb9nsd_000444,-4.1551,-0.7641,0.001
dsgdb9nsd_000445,-3.1499,-0.0476,0.2043
dsgdb9nsd_000446,-1.5785,-0.7105,0.612
dsgdb9nsd_000448,-2.8451,0,0.0001
dsgdb9nsd_000449,3.7269,-0.659,0.3133
dsgdb9nsd_000450,-4.0748,1.3766,0.36
dsgdb9nsd_000452,2.5486,0.6945,0.6202
dsgdb9nsd_000453,-3.9802,0,0
dsgdb9nsd_000454,4.4839,1.893,0.2578
dsgdb9nsd_000455,0,0,-5.0602
dsgdb9nsd_000456,-0.1537,-0.1709,0.0417
dsgdb9nsd_000457,-1.5898,0.8837,0
dsgdb9nsd_000460,1.7788,-0.0691,0.4701
dsgdb9nsd_000461,-1.4812,0,-0.04
dsgdb9nsd_000464,-0.3768,1.3922,0.1536
dsgdb9nsd_000465,-1.675,0.1987,0.4037
dsgdb9nsd_000466,0.017,0,-0.0737
dsgdb9nsd_000470,-0.9433,-0.18,0.4116
dsgdb9nsd_000472,-1.1756,0.2767,1.0389
dsgdb9nsd_000476,-1.021,-1.4014,0.938
dsgdb9nsd_000477,0.0005,-0.0028,0.6618
dsgdb9nsd_000480,-1.8768,0.1067,0.1424
dsgdb9nsd_000481,-0.0644,1.1597,-1.4444
dsgdb9nsd_000482,-0.0596,0.1847,1.1246
dsgdb9nsd_000483,-1.7328,0.4062,1.3878
dsgdb9nsd_000484,0,0.0151,0
dsgdb9nsd_000485,3.854,1.0764,2.257
dsgdb9nsd_000487,-0.0001,-0.0003,-0.0007
dsgdb9nsd_000489,0,0.0001,0.0004
dsgdb9nsd_000490,2.8793,1.503,0.0002
dsgdb9nsd_000493,2.27,-0.3855,2.4287
dsgdb9nsd_000494,-0.3758,1.7651,2.8494
dsgdb9nsd_000495,-1.7999,0.7083,0.9518
dsgdb9nsd_000499,-3.2082,1.0743,1.7127
dsgdb9nsd_000500,-0.3914,3.1862,2.0751
dsgdb9nsd_000501,-0.4016,0.3387,2.0781
dsgdb9nsd_000505,0.0001,0.0007,0.0005
dsgdb9nsd_000506,0.7089,0.2328,0
dsgdb9nsd_000507,3.2715,2.4186,0
dsgdb9nsd_000508,-2.6016,0.4682,0.8826
dsgdb9nsd_000509,0.5847,4.5288,0.0017
dsgdb9nsd_000511,1.2322,-0.0639,0.0004
dsgdb9nsd_000512,-5.2384,-0.6972,-0.0001
dsgdb9nsd_000514,-5.3883,1.8932,0.0011
dsgdb9nsd_000517,0,0,0
dsgdb9nsd_000519,0,1.4538,-0.0003
dsgdb9nsd_000520,-0.4185,2.8084,0.0002
dsgdb9nsd_000521,0.3524,-1.4724,0
dsgdb9nsd_000522,0.0191,0.1484,0
dsgdb9nsd_000524,1.2881,2.5635,0.0017
dsgdb9nsd_000525,-0.8034,0.2274,0.0015
dsgdb9nsd_000526,-3.8204,1.6666,0
dsgdb9nsd_000527,-3.6967,1.8896,0.8634
dsgdb9nsd_000530,0.6383,-0.8567,0.0008
dsgdb9nsd_000531,-3.733,0.5034,0.0003
dsgdb9nsd_000532,-1.0423,1.5156,0.0002
dsgdb9nsd_000534,-2.5626,0.2624,1.1497
dsgdb9nsd_000535,1.8946,-3.1667,-0.1301
dsgdb9nsd_000536,-3.8304,0.6797,1.4273
dsgdb9nsd_000539,-2.7249,1.4312,1.1309
dsgdb9nsd_000540,-3.7549,-1.2444,-0.6503
dsgdb9nsd_000541,0.1893,2.7884,1.1667
dsgdb9nsd_000542,2.6654,-1.6443,0.6821
dsgdb9nsd_000544,0.0287,1.3182,0.0001
dsgdb9nsd_000545,0.0025,1.0198,0.0003
dsgdb9nsd_000547,1.7991,-1.3242,0.0472
dsgdb9nsd_000548,-0.0438,2.3646,-0.0008
dsgdb9nsd_000549,0,0,0.0023
dsgdb9nsd_000550,0,0,0.0002
dsgdb9nsd_000552,-0.4223,1.8014,-0.051
dsgdb9nsd_000553,1.0704,0,0.6893
dsgdb9nsd_000554,4.0782,-0.0004,0.9009
dsgdb9nsd_000555,-2.9847,0.4775,0.4334
dsgdb9nsd_000556,-3.727,1.8713,0.9834
dsgdb9nsd_000558,2.8306,-0.0006,0.5664
dsgdb9nsd_000559,2.5222,1.203,0.448
dsgdb9nsd_000561,4.0217,1.2357,0.0002
dsgdb9nsd_000562,-2.0651,-0.1905,0.0001
dsgdb9nsd_000563,0.0516,-0.0344,0.0493
dsgdb9nsd_000566,-0.0476,0.8426,0.6082
dsgdb9nsd_000567,1.861,0.4223,1.0879
dsgdb9nsd_000569,2.2351,1.1962,0.4713
dsgdb9nsd_000571,-0.66,-0.1893,0.04
dsgdb9nsd_000572,-0.5063,1.7498,0.7551
dsgdb9nsd_000574,-3.6351,-1.6529,-0.2748
dsgdb9nsd_000575,-2.9809,2.9752,-1.0248
dsgdb9nsd_000576,-3.4859,3.2709,0.527
dsgdb9nsd_000577,3.7905,-1.5509,1.4896
dsgdb9nsd_000578,-2.0195,2.3522,1.3931
dsgdb9nsd_000580,1.4388,-2.2502,-0.2229
dsgdb9nsd_000584,-3.5342,1.2906,1.2185
dsgdb9nsd_000585,0.0556,-0.0023,-0.1308
dsgdb9nsd_000586,-1.5504,-0.9097,-0.6975
dsgdb9nsd_000587,1.2295,1.2152,1.0526
dsgdb9nsd_000589,-0.3603,-1.4933,0.7203
dsgdb9nsd_000593,1.0432,-1.9931,1.224
dsgdb9nsd_000594,0.5346,2.4105,0.2622
dsgdb9nsd_000595,-0.0094,1.2077,0.6921
dsgdb9nsd_000602,-0.0349,1.0539,1.4157
dsgdb9nsd_000603,-3.0852,-0.5248,1.9796
dsgdb9nsd_000605,2.7755,-1.1836,0.166
dsgdb9nsd_000606,-0.5863,-1.0166,-0.3578
dsgdb9nsd_000607,3.252,-1.4988,-1.9292
dsgdb9nsd_000608,-3.2246,0.659,0.3435
dsgdb9nsd_000609,-3.5758,-0.1379,-0.4179
dsgdb9nsd_000613,-4.114,1.364,0.6839
dsgdb9nsd_000615,1.9931,0.7644,0.8839
dsgdb9nsd_000616,-1.7735,0.8275,0.7025
dsgdb9nsd_000618,-0.6855,1.0255,-0.4049
dsgdb9nsd_000619,0.6623,-0.1043,1.062
dsgdb9nsd_000622,0.5747,-1.7906,1.017
dsgdb9nsd_000623,-0.4008,0.9074,0.073
dsgdb9nsd_000624,-1.1803,-0.8867,0.8063
dsgdb9nsd_000627,0.9765,-2.0999,0.8359
dsgdb9nsd_000629,-1.5563,-2.5961,0.5766
dsgdb9nsd_000630,0.4145,-3.4156,0.2197
dsgdb9nsd_000633,-0.6877,-2.9217,-0.0181
dsgdb9nsd_000635,-0.3912,0.542,-1.5805
dsgdb9nsd_000636,-0.1484,0,1.0196
dsgdb9nsd_000637,-0.3687,0.9628,1.1035
dsgdb9nsd_000640,0.0177,-0.1276,0
dsgdb9nsd_000642,-1.8251,0,-0.0001
dsgdb9nsd_000643,-1.3455,1.1689,-0.7349
dsgdb9nsd_000644,1.1477,0,1.3998
dsgdb9nsd_000646,0.1535,0,0
dsgdb9nsd_000647,0.6327,-0.0006,1.6797
dsgdb9nsd_000648,-0.047,0,0
dsgdb9nsd_000651,-0.1248,-0.0297,0
dsgdb9nsd_000652,-1.6805,1.0715,0
dsgdb9nsd_000653,1.1346,0.913,-0.0002
dsgdb9nsd_000654,1.5434,0.1525,0.9969
dsgdb9nsd_000655,0.4772,0.8586,0.6603
dsgdb9nsd_000659,0.0001,1.1974,0.5559
dsgdb9nsd_000660,0,0,0
dsgdb9nsd_000661,1.4445,0,1.1443
dsgdb9nsd_000662,0,0,0.1319
dsgdb9nsd_000665,-0.062,0.1689,-0.0001
dsgdb9nsd_000666,-0.401,1.062,1.1742
dsgdb9nsd_000667,-0.0412,0.5335,1.2893
dsgdb9nsd_000673,-0.0889,0,-0.1497
dsgdb9nsd_000674,-0.259,1.3724,0.0761
dsgdb9nsd_000675,-1.2098,0,-0.9867
dsgdb9nsd_000676,1.0466,0,0.1618
dsgdb9nsd_000677,-0.3169,-1.8027,0
dsgdb9nsd_000679,2.1292,0.7402,0
dsgdb9nsd_000680,2.632,0.2795,-0.4821
dsgdb9nsd_000683,-3.1708,0.5092,1.8193
dsgdb9nsd_000684,1.8452,1.1998,-1.6838
dsgdb9nsd_000692,-2.4735,0.1045,1.0007
dsgdb9nsd_000694,1.7196,0.498,0.0395
dsgdb9nsd_000695,0,0,0
dsgdb9nsd_000696,0.2089,0,1.6685
dsgdb9nsd_000697,-1.8496,0,0
dsgdb9nsd_000698,0,-1.5668,0.0001
dsgdb9nsd_000699,-0.9333,0,1.1014
dsgdb9nsd_000700,0,0,0
dsgdb9nsd_000702,-0.9757,-1.5511,0.1838
dsgdb9nsd_000704,2.0127,1.0561,1.7827
dsgdb9nsd_000705,-0.9938,2.1919,1.0957
dsgdb9nsd_000706,0,0,1.903
dsgdb9nsd_000712,1.3498,0,-3.0216
dsgdb9nsd_000714,-0.9381,-1.1966,0.878
dsgdb9nsd_000715,0,0.1518,0.2363
dsgdb9nsd_000716,0,-0.7987,-1.4919
dsgdb9nsd_000717,0,1.3838,-0.9163
dsgdb9nsd_000718,0.9203,1.2112,0.8785
dsgdb9nsd_000719,0,-0.0001,0.0001
dsgdb9nsd_000720,-1.1944,0,-1.4842
dsgdb9nsd_000721,0,3.9853,0
dsgdb9nsd_000722,4.753,0.0003,0
dsgdb9nsd_000723,0,0,-0.0004
dsgdb9nsd_000726,-2.6762,-0.0425,0.0008
dsgdb9nsd_000728,-4.6515,-1.2211,0.0003
dsgdb9nsd_000731,0.0679,4.1163,0
dsgdb9nsd_000732,3.1976,-0.5938,0.0003
dsgdb9nsd_000734,-2.392,1.9804,0.0006
dsgdb9nsd_000735,-1.8106,0.5588,0.0005
dsgdb9nsd_000738,0.5004,-0.0152,0.0003
dsgdb9nsd_000739,-0.0349,2.0652,0
dsgdb9nsd_000740,-0.4878,2.8231,-0.0001
dsgdb9nsd_000742,-3.103,2.0203,0.0002
dsgdb9nsd_000743,2.739,-0.0878,0
dsgdb9nsd_000744,-1.1938,1.9508,0.0077
dsgdb9nsd_000745,-2.8464,3.4311,-0.0003
dsgdb9nsd_000748,-5.1889,2.3689,-0.0002
dsgdb9nsd_000749,0.4899,0.0004,0.0237
dsgdb9nsd_000750,-2.4075,-1.4132,0.0006
dsgdb9nsd_000759,-4.7049,1.54,0.8424
dsgdb9nsd_000760,1.1444,-2.0982,1.1554
dsgdb9nsd_000761,-0.3379,3.8517,1.0945
dsgdb9nsd_000762,3.7146,-0.6502,1.1032
dsgdb9nsd_000766,-1.1552,0.7995,1.0982
dsgdb9nsd_000767,-1.5381,-0.5498,1.0531
dsgdb9nsd_000768,1.0778,-0.1159,1.0727
dsgdb9nsd_000771,0.9231,1.2416,0.9211
dsgdb9nsd_000772,3.7731,2.0197,0.9775
dsgdb9nsd_000773,3.5343,0.0282,0.8825
dsgdb9nsd_000774,2.1814,1.6333,0.0008
dsgdb9nsd_000775,-2.5671,4.3178,0
dsgdb9nsd_000778,2.7864,1.885,-0.0005
dsgdb9nsd_000780,-2.5641,1.2639,0.0005
dsgdb9nsd_000784,2.0954,-0.3217,0.0006
dsgdb9nsd_000785,2.7104,0.9605,0
dsgdb9nsd_000787,0.5832,-0.5723,0.0001
dsgdb9nsd_000788,0.0067,1.6519,0.0001
dsgdb9nsd_000789,-0.4264,2.6842,0.0002
dsgdb9nsd_000790,2.1597,1.3723,0.0003
dsgdb9nsd_000792,-0.0889,0.3498,0.3158
dsgdb9nsd_000796,0.471,0.5196,-0.0067
dsgdb9nsd_000798,0,0,0
dsgdb9nsd_000801,-1.11,-0.7053,0.7139
dsgdb9nsd_000802,0.9989,-0.2157,0.1835
dsgdb9nsd_000804,1.0053,0.8106,0.9569
dsgdb9nsd_000805,-0.394,0.2526,0
dsgdb9nsd_000809,1.9842,0.2838,0.3747
dsgdb9nsd_000810,-0.7067,0.4158,0.0225
dsgdb9nsd_000811,0.1392,0.3908,1.0667
dsgdb9nsd_000813,0.7412,0.3336,0.5179
dsgdb9nsd_000817,0.8755,0.2798,-0.0142
dsgdb9nsd_000818,-0.1791,0.921,0.3739
dsgdb9nsd_000820,-1.1871,0.5978,1.0451
dsgdb9nsd_000821,0.4552,0.0215,1.4309
dsgdb9nsd_000823,1.2478,0.2529,-1.6578
dsgdb9nsd_000824,-0.2522,0.8402,-1.5902
dsgdb9nsd_000826,-2.0892,0.0001,-0.0006
dsgdb9nsd_000828,-0.3914,-1.5025,-0.0001
dsgdb9nsd_000830,-2.117,2.1591,0.0033
dsgdb9nsd_000832,-1.256,1.2256,0.0017
dsgdb9nsd_000833,0.1207,-0.6413,0.0001
dsgdb9nsd_000834,0.7679,1.1273,1.1717
dsgdb9nsd_000835,-0.6257,-0.7686,1.1076
dsgdb9nsd_000837,-0.6543,-1.9639,0.0091
dsgdb9nsd_000838,1.29,0.3127,0.6933
dsgdb9nsd_000839,-0.8606,0.0046,0.0005
dsgdb9nsd_000840,0.7853,1.7226,-0.0003
dsgdb9nsd_000842,-0.9501,0.7003,1.0006
dsgdb9nsd_000845,0.1064,1.0007,0.0006
dsgdb9nsd_000846,-0.3718,0.5668,1.1052
dsgdb9nsd_000850,0.1296,-0.9266,2.2171
dsgdb9nsd_000851,1.8967,-1.0124,0.586
